char01,char02,char03,char04,char05,char06,char07,char08,Valid
s,u,l,k,e,d,*,*,valid
a,b,b,m,h,k,r,*,invalid
e,c,j,*,*,*,*,*,invalid
s,h,o,w,m,a,n,*,valid
r,e,w,i,r,e,d,*,valid
i,k,v,s,g,*,*,*,invalid
j,x,s,j,*,*,*,*,invalid
c,m,l,i,*,*,*,*,invalid
l,o,s,s,*,*,*,*,valid
o,q,f,l,h,o,e,*,invalid
s,c,r,e,w,*,*,*,valid
g,j,g,m,l,n,*,*,invalid
i,d,c,e,v,*,*,*,invalid
r,e,e,l,s,*,*,*,valid
y,g,j,o,b,j,*,*,invalid
v,k,x,m,w,g,*,*,invalid
n,g,d,*,*,*,*,*,invalid
v,u,a,w,n,j,w,*,invalid
h,b,n,u,e,k,v,*,invalid
w,f,y,*,*,*,*,*,invalid
f,s,y,a,m,d,*,*,invalid
u,s,o,u,g,w,*,*,invalid
f,o,o,t,f,a,l,l,valid
u,n,k,o,s,r,*,*,invalid
q,o,m,b,e,*,*,*,invalid
g,u,n,n,i,n,g,*,valid
f,o,o,t,m,e,n,*,valid
g,u,e,s,s,e,d,*,valid
q,l,b,k,*,*,*,*,invalid
a,n,l,g,*,*,*,*,invalid
r,e,d,e,e,m,*,*,valid
h,m,m,n,j,u,*,*,invalid
m,r,s,a,n,*,*,*,invalid
s,h,w,q,*,*,*,*,invalid
f,h,f,k,k,d,n,*,invalid
v,n,x,y,s,*,*,*,invalid
f,n,o,a,*,*,*,*,invalid
d,y,k,x,p,i,*,*,invalid
f,h,l,c,*,*,*,*,invalid
c,r,k,*,*,*,*,*,invalid
v,v,x,c,a,g,w,*,invalid
c,l,u,t,t,e,r,*,valid
p,r,f,*,*,*,*,*,invalid
b,e,n,u,m,b,*,*,valid
h,c,a,q,*,*,*,*,invalid
i,n,t,*,*,*,*,*,invalid
x,d,k,i,i,e,u,*,invalid
w,s,k,*,*,*,*,*,invalid
h,p,j,*,*,*,*,*,invalid
v,y,n,v,r,*,*,*,invalid
q,o,e,*,*,*,*,*,invalid
a,q,c,r,*,*,*,*,invalid
e,n,o,e,k,h,*,*,invalid
e,m,i,i,*,*,*,*,invalid
j,y,l,*,*,*,*,*,invalid
f,b,p,*,*,*,*,*,invalid
c,m,o,n,r,v,i,*,invalid
c,d,a,j,g,*,*,*,invalid
m,o,l,l,u,s,c,s,valid
t,s,d,o,*,*,*,*,invalid
q,c,e,*,*,*,*,*,invalid
n,e,g,a,t,i,o,n,valid
s,l,a,v,i,n,g,*,valid
i,o,f,m,s,n,*,*,invalid
n,t,k,b,k,u,*,*,invalid
j,d,o,p,*,*,*,*,invalid
k,x,w,i,o,q,g,*,invalid
r,u,v,a,*,*,*,*,invalid
v,u,d,*,*,*,*,*,invalid
c,r,e,a,m,e,r,s,valid
s,c,h,u,s,s,e,s,valid
h,o,l,s,t,e,r,s,valid
m,o,l,d,*,*,*,*,valid
b,n,o,r,s,x,q,*,invalid
w,o,n,t,e,d,*,*,valid
c,n,a,y,u,*,*,*,invalid
u,n,r,o,l,l,s,*,valid
r,h,y,m,n,a,*,*,invalid
m,a,a,k,m,*,*,*,invalid
c,q,r,t,h,*,*,*,invalid
l,o,b,f,*,*,*,*,invalid
w,a,h,b,*,*,*,*,invalid
g,x,l,a,j,m,*,*,invalid
a,f,f,i,x,i,n,g,valid
r,o,m,*,*,*,*,*,invalid
t,w,c,v,n,*,*,*,invalid
w,e,k,v,l,*,*,*,invalid
b,b,t,l,t,m,k,*,invalid
t,h,s,*,*,*,*,*,invalid
c,l,i,n,k,e,r,*,valid
b,v,d,x,c,g,*,*,invalid
y,a,w,*,*,*,*,*,valid
s,l,e,a,z,e,*,*,valid
p,o,r,t,a,g,e,*,valid
p,r,o,t,o,z,o,a,valid
s,e,n,a,t,o,r,s,valid
m,i,s,s,i,n,g,*,valid
m,k,i,k,y,y,w,*,invalid
i,n,v,o,l,v,e,*,valid
o,g,x,r,u,c,*,*,invalid
f,a,c,i,n,g,*,*,valid
u,f,a,k,l,b,a,*,invalid
y,y,h,s,j,j,*,*,invalid
i,n,s,p,e,c,t,*,valid
y,s,u,*,*,*,*,*,invalid
s,h,a,r,e,*,*,*,valid
m,m,i,g,c,v,*,*,invalid
l,e,r,u,l,*,*,*,invalid
j,h,d,d,v,n,*,*,invalid
m,a,p,p,i,n,g,s,valid
a,t,a,*,*,*,*,*,invalid
k,e,p,j,d,*,*,*,invalid
m,e,n,o,r,a,h,*,valid
g,w,l,l,*,*,*,*,invalid
s,t,u,n,t,e,d,*,valid
i,k,x,k,*,*,*,*,invalid
v,b,a,*,*,*,*,*,invalid
c,a,n,t,*,*,*,*,valid
d,e,s,s,e,r,t,*,valid
r,x,o,y,y,*,*,*,invalid
d,q,u,x,m,p,*,*,invalid
l,a,m,i,n,a,t,e,valid
l,t,k,a,*,*,*,*,invalid
f,b,e,*,*,*,*,*,invalid
b,e,t,a,k,i,n,g,valid
j,l,k,r,w,a,a,*,invalid
s,l,i,n,k,s,*,*,valid
a,w,n,i,n,g,*,*,valid
b,o,s,o,m,*,*,*,valid
e,y,a,r,n,h,*,*,invalid
c,e,m,e,t,e,r,y,valid
n,h,a,*,*,*,*,*,invalid
y,i,l,d,k,d,g,*,invalid
i,n,r,f,t,p,*,*,invalid
c,r,e,a,m,i,n,g,valid
b,o,o,k,m,a,r,k,valid
s,l,l,d,y,f,c,*,invalid
d,f,v,c,r,a,h,*,invalid
b,d,n,j,f,j,*,*,invalid
b,b,n,g,*,*,*,*,invalid
l,a,s,s,i,e,s,*,valid
e,q,p,t,c,q,*,*,invalid
p,s,w,i,o,*,*,*,invalid
x,a,q,*,*,*,*,*,invalid
u,j,o,w,k,*,*,*,invalid
g,p,d,*,*,*,*,*,invalid
m,a,m,b,o,*,*,*,valid
f,x,r,x,*,*,*,*,invalid
l,x,v,*,*,*,*,*,invalid
c,a,s,u,i,s,t,*,valid
c,a,r,a,w,a,y,s,valid
u,n,c,a,a,*,*,*,invalid
f,q,c,y,e,b,u,*,invalid
n,e,c,k,t,i,e,*,valid
f,u,r,b,i,s,h,*,valid
r,e,p,u,t,e,s,*,valid
s,c,x,b,*,*,*,*,invalid
n,g,r,r,w,t,*,*,invalid
a,g,a,e,w,x,s,*,invalid
l,y,r,i,c,a,l,*,valid
x,y,t,r,d,t,*,*,invalid
g,u,l,f,*,*,*,*,valid
j,w,d,s,e,o,*,*,invalid
u,n,h,o,r,s,e,d,valid
a,c,l,b,x,p,*,*,invalid
f,i,g,m,e,n,t,s,valid
s,e,t,b,a,c,k,s,valid
q,g,l,*,*,*,*,*,invalid
q,u,i,v,e,r,e,d,valid
n,w,e,a,k,w,*,*,invalid
c,m,t,o,d,t,*,*,invalid
c,o,n,k,s,*,*,*,valid
m,h,p,n,m,v,n,*,invalid
w,e,i,r,d,e,s,t,valid
y,k,b,n,*,*,*,*,invalid
s,a,m,b,a,e,d,*,valid
t,i,n,g,s,*,*,*,valid
w,p,y,v,u,*,*,*,invalid
u,y,c,q,g,n,*,*,invalid
i,j,i,*,*,*,*,*,invalid
v,p,x,v,u,*,*,*,invalid
p,i,g,g,i,s,h,*,valid
m,k,b,b,b,*,*,*,invalid
n,g,w,b,*,*,*,*,invalid
i,j,c,*,*,*,*,*,invalid
i,u,q,p,*,*,*,*,invalid
s,t,u,b,b,e,d,*,valid
f,i,m,*,*,*,*,*,invalid
w,u,d,i,*,*,*,*,invalid
y,n,m,u,j,*,*,*,invalid
y,t,q,f,y,*,*,*,invalid
l,n,f,p,*,*,*,*,invalid
t,s,n,j,t,*,*,*,invalid
i,e,e,x,*,*,*,*,invalid
r,u,v,d,*,*,*,*,invalid
b,y,w,a,y,*,*,*,valid
c,g,g,*,*,*,*,*,invalid
h,t,r,o,e,r,o,*,invalid
f,b,j,*,*,*,*,*,invalid
g,l,a,c,i,a,l,*,valid
u,o,j,o,*,*,*,*,invalid
d,r,q,c,l,l,*,*,invalid
f,r,e,e,b,a,s,e,valid
m,a,r,a,c,a,*,*,valid
w,j,n,*,*,*,*,*,invalid
a,d,j,o,i,n,s,*,valid
o,u,q,c,g,*,*,*,invalid
r,c,e,m,*,*,*,*,invalid
a,p,a,k,*,*,*,*,invalid
g,p,m,q,j,*,*,*,invalid
t,c,o,x,v,p,*,*,invalid
w,y,b,y,d,*,*,*,invalid
q,u,i,r,k,s,*,*,valid
n,f,a,*,*,*,*,*,invalid
l,w,c,e,*,*,*,*,invalid
u,k,w,f,p,*,*,*,invalid
s,o,v,i,e,t,*,*,valid
e,c,u,c,a,*,*,*,invalid
p,c,l,*,*,*,*,*,invalid
f,v,s,*,*,*,*,*,invalid
m,l,b,r,b,b,e,*,invalid
s,h,r,u,n,k,*,*,valid
b,l,a,c,k,e,r,*,valid
a,h,c,y,*,*,*,*,invalid
d,u,g,*,*,*,*,*,invalid
j,m,j,c,x,s,*,*,invalid
s,m,o,o,t,h,i,e,valid
s,d,p,x,b,*,*,*,invalid
s,c,n,l,x,*,*,*,invalid
a,b,b,e,y,*,*,*,valid
q,e,g,v,*,*,*,*,invalid
b,u,r,g,l,a,r,*,valid
x,g,x,p,u,*,*,*,invalid
a,w,v,*,*,*,*,*,invalid
m,v,l,*,*,*,*,*,invalid
o,b,n,o,*,*,*,*,invalid
c,e,e,v,c,t,*,*,invalid
u,f,j,i,*,*,*,*,invalid
b,l,y,i,b,y,m,*,invalid
o,b,e,v,m,e,j,*,invalid
b,f,s,*,*,*,*,*,invalid
h,b,j,w,b,*,*,*,invalid
r,a,d,i,u,s,e,s,valid
o,m,q,l,y,*,*,*,invalid
u,h,w,b,p,*,*,*,invalid
v,r,y,c,*,*,*,*,invalid
t,g,r,w,q,u,*,*,invalid
t,a,b,b,i,n,g,*,valid
h,b,g,*,*,*,*,*,invalid
g,r,i,e,f,s,*,*,valid
a,s,h,r,a,m,s,*,valid
p,e,e,p,e,r,s,*,valid
o,i,p,j,o,*,*,*,invalid
d,e,l,v,e,s,*,*,valid
x,h,d,p,y,m,*,*,invalid
y,a,r,n,s,*,*,*,valid
a,n,w,r,n,m,*,*,invalid
w,f,n,v,*,*,*,*,invalid
m,t,b,n,h,f,*,*,invalid
q,u,j,v,m,q,m,*,invalid
r,e,d,r,e,w,*,*,valid
u,b,i,f,*,*,*,*,invalid
c,a,n,o,e,i,n,g,valid
l,s,s,t,q,*,*,*,invalid
m,i,n,u,e,n,d,s,valid
f,c,s,n,d,*,*,*,invalid
a,b,s,i,n,t,h,e,valid
r,o,t,t,e,n,*,*,valid
c,r,e,e,l,s,*,*,valid
y,s,n,e,f,*,*,*,invalid
h,u,t,q,j,c,*,*,invalid
m,a,d,w,o,m,a,n,valid
j,o,c,k,e,y,e,d,valid
d,o,u,*,*,*,*,*,invalid
s,k,a,t,e,r,s,*,valid
j,a,u,n,t,i,l,y,valid
i,n,c,r,u,s,t,*,valid
w,b,t,c,k,*,*,*,invalid
p,r,n,*,*,*,*,*,invalid
f,s,c,p,g,x,g,*,invalid
c,a,t,c,h,e,s,*,valid
r,e,s,i,s,t,e,d,valid
w,e,l,d,e,r,s,*,valid
m,c,v,*,*,*,*,*,invalid
p,i,h,t,m,*,*,*,invalid
y,v,c,e,f,*,*,*,invalid
v,m,v,i,v,x,*,*,invalid
q,o,k,a,*,*,*,*,invalid
s,a,l,o,n,*,*,*,valid
j,i,p,u,*,*,*,*,invalid
e,l,f,c,c,m,y,*,invalid
d,c,e,b,*,*,*,*,invalid
f,y,e,s,s,*,*,*,invalid
y,v,d,*,*,*,*,*,invalid
d,x,o,q,*,*,*,*,invalid
r,o,m,p,e,r,s,*,valid
d,e,c,o,y,e,d,*,valid
a,c,l,*,*,*,*,*,invalid
k,e,a,w,y,l,*,*,invalid
d,s,f,p,*,*,*,*,invalid
w,a,l,l,o,w,e,d,valid
p,s,t,*,*,*,*,*,invalid
c,o,o,k,i,n,g,*,valid
p,o,s,t,d,o,c,*,valid
v,e,i,l,e,d,*,*,valid
a,k,j,b,n,h,a,*,invalid
a,u,r,q,s,x,d,*,invalid
d,r,e,a,m,e,r,s,valid
p,c,j,*,*,*,*,*,invalid
m,q,g,t,*,*,*,*,invalid
u,d,r,m,t,*,*,*,invalid
r,o,q,u,d,*,*,*,invalid
a,a,i,w,p,v,l,*,invalid
h,e,u,*,*,*,*,*,invalid
d,o,c,h,i,r,a,*,valid
c,h,e,s,s,*,*,*,valid
y,j,n,s,i,k,m,*,invalid
c,u,p,i,d,i,t,y,valid
b,u,n,g,i,n,g,*,valid
m,n,p,*,*,*,*,*,invalid
k,g,j,*,*,*,*,*,invalid
p,o,r,e,d,*,*,*,valid
a,f,f,l,u,e,n,t,valid
h,b,q,o,g,g,*,*,invalid
w,i,n,k,e,d,*,*,valid
e,v,y,m,k,*,*,*,invalid
e,c,g,x,p,m,*,*,invalid
g,y,a,c,g,c,*,*,invalid
i,t,p,g,*,*,*,*,invalid
k,i,n,d,l,e,d,*,valid
v,t,s,w,t,n,*,*,invalid
g,u,t,t,e,r,e,d,valid
n,n,w,w,n,f,e,*,invalid
s,b,w,p,c,n,n,*,invalid
x,t,r,f,*,*,*,*,invalid
j,l,n,x,o,h,q,*,invalid
g,l,n,c,b,n,v,*,invalid
v,e,n,t,*,*,*,*,valid
i,m,w,i,w,*,*,*,invalid
c,m,b,k,u,l,*,*,invalid
h,e,g,s,*,*,*,*,invalid
l,l,s,m,*,*,*,*,invalid
i,j,o,w,h,f,t,*,invalid
s,p,a,r,*,*,*,*,valid
m,c,t,f,*,*,*,*,invalid
h,t,c,a,g,*,*,*,invalid
b,a,l,i,n,g,*,*,valid
a,d,u,l,a,t,e,s,valid
i,l,o,*,*,*,*,*,invalid
f,l,a,y,s,*,*,*,valid
m,b,u,u,h,w,*,*,invalid
s,a,d,d,e,s,t,*,valid
p,l,c,w,k,*,*,*,invalid
n,c,r,o,*,*,*,*,invalid
b,q,a,*,*,*,*,*,invalid
f,c,n,*,*,*,*,*,invalid
i,m,b,i,b,e,s,*,valid
g,o,l,f,s,*,*,*,valid
l,a,x,i,t,y,*,*,valid
o,o,b,h,c,*,*,*,invalid
j,m,s,d,v,j,*,*,invalid
r,d,m,o,f,s,*,*,invalid
t,e,n,d,r,i,l,*,valid
q,s,s,g,o,u,*,*,invalid
x,y,k,x,x,a,s,*,invalid
r,e,t,a,r,d,*,*,valid
j,c,m,k,u,*,*,*,invalid
f,u,l,c,r,a,*,*,valid
v,i,n,y,l,*,*,*,valid
o,c,f,*,*,*,*,*,invalid
l,o,a,d,i,n,g,*,valid
k,a,b,a,n,*,*,*,valid
a,j,l,*,*,*,*,*,invalid
b,r,a,s,s,y,*,*,valid
j,f,m,o,s,i,s,*,invalid
r,i,p,q,a,o,*,*,invalid
y,j,c,h,e,w,*,*,invalid
y,i,a,*,*,*,*,*,invalid
y,j,j,*,*,*,*,*,invalid
t,n,l,x,t,q,*,*,invalid
g,r,i,t,*,*,*,*,valid
m,p,n,i,s,r,*,*,invalid
c,o,d,i,f,i,e,s,valid
v,e,n,d,e,d,*,*,valid
x,c,s,w,x,g,i,*,invalid
i,j,x,*,*,*,*,*,invalid
u,k,s,n,s,t,c,*,invalid
b,u,c,k,s,*,*,*,valid
a,c,k,*,*,*,*,*,invalid
d,e,t,a,c,h,*,*,valid
t,b,s,f,n,*,*,*,invalid
s,p,i,n,a,c,h,*,valid
w,i,g,g,l,i,n,g,valid
p,u,d,d,l,e,d,*,valid
m,a,r,c,h,e,r,s,valid
l,h,n,u,s,s,d,*,invalid
y,c,o,c,a,a,j,*,invalid
x,g,g,i,*,*,*,*,invalid
k,d,w,c,t,b,m,*,invalid
o,j,a,w,*,*,*,*,invalid
c,p,d,i,*,*,*,*,invalid
s,x,v,h,g,y,u,*,invalid
s,l,i,v,e,r,e,d,valid
d,i,s,e,a,s,e,d,valid
d,w,v,h,m,j,*,*,invalid
q,t,n,r,e,n,*,*,invalid
v,a,n,d,a,l,*,*,valid
x,n,p,*,*,*,*,*,invalid
a,o,u,r,s,*,*,*,invalid
i,n,d,u,c,t,*,*,valid
r,j,f,s,r,g,l,*,invalid
v,h,l,v,*,*,*,*,invalid
j,x,v,l,j,x,*,*,invalid
q,y,m,u,r,*,*,*,invalid
n,o,t,a,b,l,e,s,valid
k,r,c,u,m,*,*,*,invalid
t,s,u,m,e,*,*,*,valid
j,k,n,i,y,j,*,*,invalid
s,y,u,b,e,h,*,*,invalid
a,p,a,m,n,j,y,*,invalid
q,f,j,m,*,*,*,*,invalid
h,y,s,k,r,*,*,*,invalid
v,k,k,k,*,*,*,*,invalid
o,p,c,*,*,*,*,*,invalid
r,e,l,a,x,e,s,*,valid
n,o,r,x,t,*,*,*,invalid
o,a,x,q,g,*,*,*,invalid
s,s,k,g,d,*,*,*,invalid
n,f,y,w,d,*,*,*,invalid
k,q,v,w,g,m,*,*,invalid
o,c,x,h,*,*,*,*,invalid
j,o,j,i,i,*,*,*,invalid
b,a,b,*,*,*,*,*,invalid
r,a,e,*,*,*,*,*,invalid
t,r,a,n,s,i,t,s,valid
e,g,i,n,e,k,*,*,invalid
j,e,l,l,e,d,*,*,valid
t,h,i,a,m,i,n,*,valid
b,a,k,e,s,*,*,*,valid
x,m,j,e,*,*,*,*,invalid
s,p,l,a,y,s,*,*,valid
g,e,n,i,e,s,*,*,valid
b,r,a,v,e,l,y,*,valid
f,o,u,n,d,*,*,*,valid
j,k,q,*,*,*,*,*,invalid
k,s,h,v,*,*,*,*,invalid
l,i,n,e,u,p,*,*,valid
p,f,e,g,o,*,*,*,invalid
a,w,f,u,l,l,e,r,valid
o,d,m,t,*,*,*,*,invalid
k,c,e,c,x,*,*,*,invalid
r,e,c,o,u,n,t,*,valid
p,f,c,v,y,c,x,*,invalid
v,u,a,h,l,i,*,*,invalid
a,l,b,*,*,*,*,*,invalid
f,a,r,m,l,a,n,d,valid
m,f,g,v,*,*,*,*,invalid
d,y,l,s,*,*,*,*,invalid
k,q,b,f,s,u,v,*,invalid
q,u,i,b,b,l,e,*,valid
b,o,k,w,n,x,j,*,invalid
f,i,l,h,h,u,*,*,invalid
y,n,y,o,h,*,*,*,invalid
s,e,p,t,i,c,*,*,valid
u,f,g,a,k,v,f,*,invalid
k,g,h,n,i,*,*,*,invalid
e,d,g,e,r,*,*,*,valid
c,d,i,*,*,*,*,*,invalid
q,f,s,*,*,*,*,*,invalid
x,y,l,b,*,*,*,*,invalid
m,n,g,*,*,*,*,*,invalid
r,e,p,a,y,i,n,g,valid
g,a,m,b,o,l,*,*,valid
i,g,f,e,e,a,*,*,invalid
t,q,g,f,k,*,*,*,invalid
g,e,r,a,n,i,u,m,valid
z,e,r,o,s,*,*,*,valid
f,r,o,s,t,e,d,*,valid
i,i,e,*,*,*,*,*,valid
j,u,i,c,e,r,*,*,valid
v,i,n,e,g,a,r,y,valid
m,t,e,*,*,*,*,*,invalid
s,w,i,v,e,l,e,d,valid
r,o,b,b,e,r,y,*,valid
r,t,j,c,o,u,*,*,invalid
j,j,e,*,*,*,*,*,invalid
p,g,n,*,*,*,*,*,invalid
w,v,y,w,u,i,*,*,invalid
h,x,d,k,i,u,*,*,invalid
v,x,m,*,*,*,*,*,invalid
m,t,o,q,e,t,g,*,invalid
c,i,o,y,y,i,c,*,invalid
m,a,n,u,r,i,n,g,valid
u,n,b,j,n,*,*,*,invalid
n,r,g,i,e,*,*,*,invalid
r,o,w,e,l,s,*,*,valid
a,c,l,*,*,*,*,*,invalid
h,p,b,u,*,*,*,*,invalid
l,o,a,f,i,n,g,*,valid
g,h,p,o,w,d,o,*,invalid
y,l,b,w,*,*,*,*,invalid
w,e,x,g,*,*,*,*,invalid
x,t,r,m,c,*,*,*,invalid
c,r,e,w,*,*,*,*,valid
a,i,f,x,r,p,i,*,invalid
p,l,a,y,l,i,s,t,valid
v,h,h,w,*,*,*,*,invalid
m,d,s,l,*,*,*,*,invalid
m,v,f,*,*,*,*,*,invalid
d,o,o,d,*,*,*,*,invalid
j,g,d,y,g,j,*,*,invalid
e,h,k,r,g,b,*,*,invalid
r,g,p,*,*,*,*,*,invalid
l,j,u,i,*,*,*,*,invalid
v,b,n,*,*,*,*,*,invalid
a,a,q,j,p,*,*,*,invalid
c,a,l,c,i,n,e,d,valid
s,x,b,q,i,j,*,*,invalid
o,y,w,d,t,l,*,*,invalid
n,w,f,a,e,e,*,*,invalid
v,j,w,h,b,r,*,*,invalid
p,l,e,a,d,e,d,*,valid
o,c,t,e,t,t,e,*,valid
q,r,e,x,s,q,t,*,invalid
b,r,i,s,k,e,t,*,valid
j,w,s,h,*,*,*,*,invalid
k,b,y,i,*,*,*,*,invalid
r,w,c,k,n,k,w,*,invalid
j,x,v,*,*,*,*,*,invalid
v,i,r,e,o,*,*,*,valid
i,o,i,n,y,x,i,*,invalid
h,e,t,l,*,*,*,*,invalid
a,s,p,i,*,*,*,*,invalid
g,s,t,s,x,*,*,*,invalid
v,m,e,t,y,i,*,*,invalid
t,t,h,k,t,i,*,*,invalid
a,h,g,d,y,x,*,*,invalid
h,n,a,g,*,*,*,*,invalid
b,g,b,y,b,k,n,*,invalid
g,l,e,a,m,*,*,*,valid
i,e,r,q,t,*,*,*,invalid
m,a,n,u,r,e,s,*,valid
s,t,o,n,i,n,g,*,valid
h,y,p,n,o,s,i,s,valid
b,m,w,k,*,*,*,*,invalid
r,e,g,p,v,*,*,*,invalid
g,y,y,a,g,q,n,*,invalid
d,c,x,j,h,b,i,*,invalid
x,y,g,l,*,*,*,*,invalid
g,r,a,v,e,l,*,*,valid
o,u,t,l,e,t,*,*,valid
d,e,t,e,s,t,s,*,valid
g,g,o,n,w,*,*,*,invalid
k,c,s,*,*,*,*,*,invalid
v,q,j,g,q,*,*,*,invalid
p,u,d,g,i,e,s,t,valid
b,e,e,h,i,v,e,*,valid
n,s,m,q,n,f,*,*,invalid
s,t,b,q,y,d,w,*,invalid
t,q,g,f,r,*,*,*,invalid
g,j,e,c,k,x,r,*,invalid
w,i,n,d,s,u,r,f,valid
f,r,p,v,l,w,*,*,invalid
d,c,x,*,*,*,*,*,invalid
s,c,b,j,p,g,*,*,invalid
s,k,y,w,a,r,d,s,valid
i,r,n,w,*,*,*,*,invalid
n,h,w,p,*,*,*,*,invalid
o,s,h,a,m,g,i,*,invalid
f,a,q,m,*,*,*,*,invalid
b,f,y,o,p,m,*,*,invalid
c,h,o,k,e,r,s,*,valid
v,k,o,s,*,*,*,*,invalid
o,q,y,k,n,c,*,*,invalid
a,k,i,*,*,*,*,*,invalid
s,k,h,p,*,*,*,*,invalid
a,j,u,h,*,*,*,*,invalid
n,n,x,v,y,*,*,*,invalid
r,o,k,u,*,*,*,*,valid
w,a,c,k,s,*,*,*,valid
h,a,t,c,h,e,t,*,valid
i,p,m,*,*,*,*,*,invalid
s,b,x,l,*,*,*,*,invalid
t,o,u,r,n,e,y,*,valid
w,x,p,c,b,*,*,*,invalid
e,h,q,n,r,*,*,*,invalid
j,e,t,q,q,*,*,*,invalid
a,w,t,q,j,c,*,*,invalid
r,h,n,*,*,*,*,*,invalid
s,r,q,w,n,b,m,*,invalid
v,u,f,c,*,*,*,*,invalid
c,a,r,e,e,r,*,*,valid
s,i,l,e,n,t,l,y,valid
n,h,f,c,x,*,*,*,invalid
h,o,w,l,e,d,*,*,valid
i,g,t,q,x,i,*,*,invalid
a,p,l,i,*,*,*,*,invalid
p,a,r,e,n,t,a,l,valid
b,a,q,e,m,*,*,*,invalid
a,r,r,e,s,t,s,*,valid
c,a,p,t,i,v,e,*,valid
o,k,w,r,p,d,l,*,invalid
q,l,a,*,*,*,*,*,invalid
f,o,l,d,e,r,*,*,valid
h,e,r,e,u,p,o,n,valid
o,u,t,r,a,g,e,d,valid
g,x,v,x,*,*,*,*,invalid
r,u,t,s,*,*,*,*,valid
x,n,m,m,*,*,*,*,invalid
c,h,b,x,e,w,*,*,invalid
w,a,t,t,l,e,s,*,valid
d,e,h,e,*,*,*,*,invalid
x,e,q,p,r,*,*,*,invalid
u,g,t,h,*,*,*,*,invalid
n,i,q,o,n,s,x,*,invalid
t,d,m,k,y,*,*,*,invalid
w,i,l,l,s,*,*,*,valid
d,w,a,g,w,t,g,*,invalid
f,p,s,k,s,*,*,*,invalid
d,a,d,o,e,s,*,*,valid
a,w,a,s,b,q,y,*,invalid
i,r,u,w,r,g,g,*,invalid
t,h,a,w,s,*,*,*,valid
i,e,f,n,q,a,*,*,invalid
g,s,t,*,*,*,*,*,invalid
h,f,i,*,*,*,*,*,invalid
b,e,t,i,d,e,d,*,valid
s,i,n,n,e,r,s,*,valid
v,e,m,e,*,*,*,*,invalid
p,r,e,s,e,t,s,*,valid
p,t,e,q,e,c,*,*,invalid
e,e,g,n,n,s,*,*,invalid
l,u,m,w,l,j,d,*,invalid
n,e,v,q,*,*,*,*,invalid
k,l,w,l,*,*,*,*,invalid
a,d,w,t,*,*,*,*,invalid
u,m,y,t,t,o,c,*,invalid
p,u,t,d,*,*,*,*,invalid
d,l,d,u,a,w,*,*,invalid
r,e,c,a,p,p,e,d,valid
t,q,w,b,s,j,l,*,invalid
a,m,a,z,o,n,s,*,valid
w,f,t,*,*,*,*,*,invalid
o,r,m,q,n,o,k,*,invalid
d,d,d,*,*,*,*,*,invalid
o,p,i,a,t,e,s,*,valid
b,e,d,s,o,r,e,s,valid
g,f,q,*,*,*,*,*,invalid
