char01,char02,char03,char04,char05,char06,char07,char08,Valid
o,q,p,*,*,*,*,*,invalid
e,r,i,*,*,*,*,*,invalid
u,c,q,h,u,t,n,*,invalid
s,t,a,m,p,i,n,g,valid
m,p,o,c,w,q,*,*,invalid
r,f,o,m,f,n,*,*,invalid
d,r,a,g,n,e,t,*,valid
b,e,t,a,*,*,*,*,valid
h,n,e,u,*,*,*,*,invalid
u,u,y,m,p,*,*,*,invalid
w,s,l,n,y,l,i,*,invalid
b,i,s,j,*,*,*,*,invalid
m,a,b,d,*,*,*,*,invalid
h,b,f,j,*,*,*,*,invalid
q,b,p,v,e,k,*,*,invalid
w,a,v,e,l,e,t,s,valid
k,m,h,n,m,g,c,*,invalid
x,c,a,c,l,i,*,*,invalid
r,a,n,t,e,r,*,*,valid
g,s,n,s,*,*,*,*,invalid
i,u,u,x,j,o,d,*,invalid
a,q,m,o,*,*,*,*,invalid
h,d,k,f,p,r,t,*,invalid
o,o,u,q,d,x,*,*,invalid
l,t,w,c,e,*,*,*,invalid
o,r,e,d,a,e,*,*,invalid
i,n,g,b,e,y,*,*,invalid
c,n,x,x,k,k,q,*,invalid
s,a,y,i,n,g,s,*,valid
q,a,f,i,e,*,*,*,invalid
j,u,a,b,p,u,s,*,invalid
q,u,e,e,r,i,n,g,valid
m,h,n,q,w,q,*,*,invalid
q,s,y,o,u,*,*,*,invalid
m,a,m,m,o,t,h,*,valid
r,g,t,a,x,l,g,*,invalid
e,v,d,m,l,e,c,*,invalid
j,c,f,y,p,c,*,*,invalid
p,l,e,x,u,s,e,s,valid
h,a,h,*,*,*,*,*,invalid
v,m,q,f,a,*,*,*,invalid
d,i,s,k,*,*,*,*,valid
f,u,r,z,e,*,*,*,valid
e,r,o,s,i,o,n,*,valid
d,r,y,a,d,s,*,*,valid
i,n,s,i,s,t,e,d,valid
r,i,v,u,l,e,t,*,valid
m,i,s,r,u,l,e,*,valid
t,r,u,i,s,m,*,*,valid
w,b,i,s,a,p,*,*,invalid
m,n,u,y,b,*,*,*,invalid
s,u,n,d,e,r,s,*,valid
x,n,m,v,a,x,*,*,invalid
l,e,x,i,c,o,n,*,valid
q,v,e,y,x,d,h,*,invalid
v,q,e,r,f,o,*,*,invalid
t,n,k,k,o,n,k,*,invalid
h,b,l,a,c,*,*,*,invalid
o,u,r,h,i,i,*,*,invalid
o,c,m,t,*,*,*,*,invalid
m,u,f,f,l,e,*,*,valid
w,e,t,t,p,*,*,*,invalid
b,e,a,u,x,*,*,*,valid
l,b,e,u,*,*,*,*,invalid
c,h,a,p,l,e,t,*,valid
u,g,y,u,*,*,*,*,invalid
u,t,o,p,i,a,s,*,valid
t,i,m,b,r,e,s,*,valid
g,i,a,r,*,*,*,*,invalid
x,g,g,e,*,*,*,*,invalid
o,f,y,a,m,*,*,*,invalid
g,e,n,d,e,r,s,*,valid
b,u,c,k,e,t,*,*,valid
d,i,c,i,n,g,*,*,valid
y,x,e,i,i,a,s,*,invalid
l,e,t,h,a,l,l,y,valid
p,l,t,*,*,*,*,*,invalid
v,p,l,b,j,l,h,*,invalid
i,k,l,m,*,*,*,*,invalid
o,e,s,a,*,*,*,*,invalid
h,c,e,*,*,*,*,*,invalid
s,t,e,r,n,e,s,t,valid
f,l,u,e,*,*,*,*,valid
t,r,a,i,n,e,e,s,valid
c,o,o,l,i,n,g,*,valid
v,f,c,o,u,*,*,*,invalid
f,u,r,l,s,*,*,*,valid
b,e,g,i,n,s,*,*,valid
x,h,c,u,p,*,*,*,invalid
s,u,p,o,u,t,s,u,valid
y,i,l,f,o,p,e,*,invalid
i,b,k,*,*,*,*,*,invalid
i,e,l,w,w,e,b,*,invalid
o,n,x,r,*,*,*,*,invalid
i,n,v,i,t,i,n,g,valid
t,r,u,c,e,*,*,*,valid
d,e,f,a,c,e,d,*,valid
e,r,v,w,n,a,p,*,invalid
p,i,m,p,l,e,*,*,valid
b,i,l,l,o,w,y,*,valid
c,r,r,l,f,*,*,*,invalid
l,u,q,x,a,d,*,*,invalid
h,a,n,d,s,e,t,*,valid
c,r,e,o,l,e,s,*,valid
l,a,k,*,*,*,*,*,invalid
x,a,g,h,o,d,j,*,invalid
a,o,n,o,d,*,*,*,invalid
v,s,p,u,l,*,*,*,invalid
d,r,h,f,*,*,*,*,invalid
i,f,u,n,l,o,*,*,invalid
w,e,e,k,e,n,d,*,valid
w,v,r,c,g,*,*,*,invalid
h,p,t,m,*,*,*,*,invalid
y,y,v,u,x,d,*,*,invalid
c,l,e,a,n,l,y,*,valid
s,p,u,r,r,e,d,*,valid
u,n,c,i,w,k,*,*,invalid
w,o,m,e,n,*,*,*,valid
g,g,d,r,m,t,j,*,invalid
s,o,b,b,o,u,t,*,invalid
c,l,o,w,n,s,*,*,valid
m,e,d,i,a,t,e,*,valid
b,a,i,p,q,q,*,*,invalid
p,l,u,m,p,e,r,*,valid
r,y,k,s,w,q,*,*,invalid
c,r,i,s,p,i,n,g,valid
r,l,i,x,v,y,*,*,invalid
o,o,e,l,n,l,*,*,invalid
u,h,o,d,*,*,*,*,invalid
d,j,v,t,s,d,*,*,invalid
k,i,d,n,a,p,e,d,valid
a,y,u,k,t,b,r,*,invalid
s,t,u,b,*,*,*,*,valid
f,p,b,n,*,*,*,*,invalid
o,s,r,s,q,l,*,*,invalid
l,i,b,e,l,o,u,s,valid
c,u,t,l,e,r,y,*,valid
c,h,a,m,p,i,o,n,valid
r,e,o,*,*,*,*,*,invalid
a,o,m,c,a,w,x,*,invalid
c,o,p,s,e,*,*,*,valid
d,m,v,q,w,w,*,*,invalid
r,j,r,*,*,*,*,*,invalid
i,p,c,r,r,b,e,*,invalid
q,u,e,*,*,*,*,*,invalid
y,x,q,o,*,*,*,*,invalid
j,l,g,c,v,a,*,*,invalid
m,t,w,r,*,*,*,*,invalid
l,w,a,e,e,c,m,*,invalid
d,l,b,*,*,*,*,*,invalid
l,j,p,o,e,h,*,*,invalid
b,c,t,c,q,e,*,*,invalid
s,d,y,k,m,*,*,*,invalid
c,u,p,f,u,l,*,*,valid
h,r,t,y,b,*,*,*,invalid
r,x,l,u,*,*,*,*,invalid
l,b,f,v,l,u,j,*,invalid
b,r,u,n,c,h,e,d,valid
q,m,l,*,*,*,*,*,invalid
m,o,r,m,b,c,*,*,invalid
a,l,o,n,g,*,*,*,valid
w,u,k,w,w,*,*,*,invalid
a,u,s,*,*,*,*,*,invalid
e,p,q,d,n,g,*,*,invalid
v,a,l,u,i,n,g,*,valid
e,e,d,b,x,*,*,*,invalid
x,a,s,l,*,*,*,*,invalid
w,o,r,k,s,*,*,*,valid
m,e,n,u,s,*,*,*,valid
w,a,s,h,i,n,g,s,valid
y,y,w,*,*,*,*,*,invalid
a,x,d,o,t,p,*,*,invalid
f,a,u,n,a,s,*,*,valid
s,l,o,u,c,h,y,*,valid
s,c,r,a,p,e,d,*,valid
c,l,a,s,s,i,f,y,valid
l,o,d,g,i,n,g,s,valid
h,o,v,e,l,s,*,*,valid
a,y,e,r,j,e,f,*,invalid
a,f,r,h,h,w,p,*,invalid
b,d,e,b,t,*,*,*,invalid
q,u,a,i,n,t,l,y,valid
k,r,s,s,r,t,*,*,invalid
v,s,d,d,*,*,*,*,invalid
m,r,p,p,g,*,*,*,invalid
c,v,c,u,*,*,*,*,invalid
d,o,r,m,e,r,*,*,valid
y,a,u,c,c,*,*,*,invalid
h,e,h,n,*,*,*,*,invalid
r,v,s,q,w,u,m,*,invalid
u,b,o,p,m,*,*,*,invalid
p,e,l,l,e,t,s,*,valid
f,k,n,*,*,*,*,*,invalid
m,l,t,*,*,*,*,*,invalid
s,f,s,d,s,*,*,*,invalid
p,a,l,i,n,g,s,*,valid
y,q,j,u,*,*,*,*,invalid
h,f,c,l,b,*,*,*,invalid
s,c,m,*,*,*,*,*,invalid
f,a,g,g,o,t,s,*,valid
v,a,l,v,e,s,*,*,valid
r,v,e,*,*,*,*,*,invalid
e,s,u,y,s,g,y,*,invalid
l,p,t,v,l,*,*,*,invalid
s,n,o,r,e,*,*,*,valid
f,i,f,t,h,*,*,*,valid
u,d,p,f,w,y,d,*,invalid
d,u,u,j,u,*,*,*,invalid
h,o,t,n,e,s,s,*,valid
o,f,f,e,d,*,*,*,valid
g,o,o,d,n,e,s,s,valid
d,e,c,e,d,e,n,t,valid
t,o,r,p,e,d,o,*,valid
f,u,s,s,i,l,y,*,valid
t,t,o,l,k,*,*,*,invalid
d,e,c,r,y,*,*,*,valid
g,a,u,d,i,l,y,*,valid
k,o,i,*,*,*,*,*,invalid
h,n,e,w,b,*,*,*,invalid
m,i,d,r,i,f,f,*,valid
c,o,l,o,n,y,*,*,valid
f,q,v,*,*,*,*,*,invalid
p,r,e,f,e,c,t,*,valid
b,j,f,o,e,n,*,*,invalid
p,w,o,n,i,*,*,*,invalid
p,y,r,e,s,*,*,*,valid
e,m,l,*,*,*,*,*,invalid
n,c,y,t,g,v,*,*,invalid
r,l,p,j,r,b,i,*,invalid
a,l,j,*,*,*,*,*,invalid
t,x,t,s,p,i,b,*,invalid
u,o,u,h,v,c,k,*,invalid
i,b,e,y,i,*,*,*,invalid
e,c,x,*,*,*,*,*,invalid
c,u,d,g,e,l,s,*,valid
p,l,a,c,a,t,e,*,valid
q,y,u,j,*,*,*,*,invalid
l,o,c,j,o,*,*,*,invalid
k,n,t,f,v,*,*,*,invalid
m,g,a,g,x,h,l,*,invalid
v,e,c,h,j,*,*,*,invalid
i,n,s,a,n,e,*,*,valid
d,b,n,e,*,*,*,*,invalid
j,o,n,a,i,r,*,*,invalid
d,i,s,t,r,u,s,t,valid
n,o,t,i,o,n,*,*,valid
r,q,i,*,*,*,*,*,invalid
y,g,w,t,b,*,*,*,invalid
e,c,o,s,t,v,k,*,invalid
w,s,y,s,c,*,*,*,invalid
h,u,s,t,l,e,r,*,valid
e,l,f,n,h,*,*,*,invalid
v,l,r,y,w,*,*,*,invalid
f,q,u,g,b,c,w,*,invalid
e,j,c,e,c,*,*,*,invalid
c,s,k,e,q,r,*,*,invalid
s,c,r,o,u,n,g,e,valid
w,a,n,*,*,*,*,*,invalid
g,a,l,l,e,y,s,*,valid
g,q,w,c,m,*,*,*,invalid
w,w,g,t,r,k,*,*,invalid
p,o,r,n,*,*,*,*,valid
o,e,n,g,d,f,f,*,invalid
d,t,k,f,*,*,*,*,invalid
s,n,u,f,f,i,n,g,valid
e,g,u,b,w,*,*,*,invalid
r,h,p,*,*,*,*,*,invalid
c,u,t,t,i,n,g,s,valid
j,b,c,p,u,*,*,*,invalid
s,t,a,r,v,e,s,*,valid
w,o,j,*,*,*,*,*,invalid
l,k,q,l,p,r,*,*,invalid
w,a,t,c,h,e,s,*,valid
w,w,a,n,m,o,q,*,invalid
f,e,a,l,t,y,*,*,valid
y,b,w,d,l,l,*,*,invalid
r,p,q,d,k,m,*,*,invalid
s,q,v,s,j,a,c,*,invalid
r,t,c,u,n,b,i,*,invalid
y,h,j,t,*,*,*,*,invalid
l,i,c,e,n,c,e,s,valid
p,o,m,*,*,*,*,*,invalid
l,t,h,c,x,d,j,*,invalid
h,e,e,d,i,n,g,*,valid
s,w,i,t,c,h,e,s,valid
g,k,e,*,*,*,*,*,invalid
d,f,n,x,u,*,*,*,invalid
a,i,s,l,e,s,*,*,valid
p,o,o,d,l,e,*,*,valid
n,y,o,*,*,*,*,*,invalid
o,p,e,n,e,s,t,*,valid
r,o,l,l,i,c,k,*,valid
h,k,r,w,*,*,*,*,invalid
s,o,u,n,d,e,s,t,valid
r,b,s,*,*,*,*,*,invalid
f,e,x,h,r,n,*,*,invalid
b,k,d,*,*,*,*,*,invalid
n,e,t,b,o,o,k,s,valid
n,o,s,i,e,s,t,*,valid
e,s,u,j,k,w,*,*,invalid
w,q,w,*,*,*,*,*,invalid
d,b,f,k,y,c,k,*,invalid
l,g,r,t,c,*,*,*,invalid
a,a,r,a,x,*,*,*,invalid
m,u,a,y,*,*,*,*,invalid
o,r,v,s,y,a,b,*,invalid
q,v,p,i,p,*,*,*,invalid
f,l,e,e,*,*,*,*,valid
d,e,a,v,e,s,*,*,valid
c,q,r,t,*,*,*,*,invalid
w,o,n,d,e,r,*,*,valid
m,u,l,c,*,*,*,*,invalid
j,y,r,m,*,*,*,*,invalid
f,i,s,h,e,s,*,*,valid
x,u,l,r,*,*,*,*,invalid
i,q,f,b,w,t,*,*,invalid
s,e,d,a,n,*,*,*,valid
d,e,r,i,v,e,*,*,valid
p,e,e,i,n,g,*,*,valid
p,g,o,h,f,*,*,*,invalid
p,s,a,l,m,*,*,*,valid
c,n,d,y,f,i,*,*,invalid
u,b,i,a,y,t,o,*,invalid
p,l,a,y,e,r,s,*,valid
b,v,s,b,*,*,*,*,invalid
x,p,l,*,*,*,*,*,invalid
q,m,x,p,c,m,*,*,invalid
i,c,c,r,g,h,t,*,invalid
j,s,l,p,d,*,*,*,invalid
a,j,f,s,*,*,*,*,invalid
v,l,t,k,*,*,*,*,invalid
g,l,o,w,s,*,*,*,valid
c,r,a,m,m,i,n,g,valid
o,d,o,r,u,*,*,*,valid
r,y,p,h,y,*,*,*,invalid
f,s,b,r,h,*,*,*,invalid
g,w,m,x,x,w,*,*,invalid
d,o,s,a,g,e,s,*,valid
d,t,h,c,y,*,*,*,invalid
e,m,b,o,d,i,e,s,valid
x,j,i,*,*,*,*,*,invalid
c,l,e,a,v,e,*,*,valid
m,a,n,g,e,*,*,*,valid
b,e,l,l,b,o,y,s,valid
i,r,c,w,h,l,*,*,invalid
q,h,b,h,n,g,*,*,invalid
m,a,j,o,r,l,y,*,valid
p,b,u,*,*,*,*,*,invalid
o,k,i,b,x,*,*,*,invalid
e,n,c,a,m,p,e,d,valid
c,o,m,e,r,s,*,*,valid
g,d,w,k,x,*,*,*,invalid
q,u,e,s,t,e,d,*,valid
u,s,e,l,e,s,s,*,valid
p,b,n,j,*,*,*,*,invalid
y,u,p,*,*,*,*,*,valid
m,u,s,i,c,*,*,*,valid
g,u,s,h,e,r,*,*,valid
g,s,b,t,a,*,*,*,invalid
f,o,j,v,m,x,*,*,invalid
p,u,r,i,s,m,*,*,valid
c,o,a,l,e,d,*,*,valid
j,h,d,b,i,*,*,*,invalid
r,i,p,e,n,i,n,g,valid
i,y,g,h,f,f,p,*,invalid
b,u,h,b,a,k,x,*,invalid
u,n,a,w,a,r,e,*,valid
r,b,o,s,u,g,*,*,invalid
t,h,o,s,e,*,*,*,valid
h,o,t,h,e,a,d,*,valid
v,g,v,*,*,*,*,*,invalid
d,h,b,e,*,*,*,*,invalid
w,q,r,p,*,*,*,*,invalid
s,p,o,o,r,i,n,g,valid
b,u,s,y,b,o,d,y,valid
d,m,b,u,q,e,k,*,invalid
s,d,n,f,*,*,*,*,invalid
t,u,w,r,a,y,*,*,invalid
p,x,g,j,*,*,*,*,invalid
e,h,o,*,*,*,*,*,invalid
e,x,u,u,*,*,*,*,invalid
v,m,t,r,a,*,*,*,invalid
l,n,y,k,p,t,*,*,invalid
w,a,s,h,e,r,s,*,valid
q,i,i,q,f,o,q,*,invalid
e,i,o,b,*,*,*,*,invalid
c,x,a,d,g,i,f,*,invalid
d,t,a,p,j,*,*,*,invalid
i,f,k,k,*,*,*,*,invalid
p,o,u,v,v,*,*,*,invalid
l,h,y,*,*,*,*,*,invalid
t,i,d,m,r,*,*,*,invalid
o,l,q,g,*,*,*,*,invalid
v,j,w,d,*,*,*,*,invalid
h,i,e,j,j,h,*,*,invalid
l,a,y,o,f,f,s,*,valid
j,i,v,e,s,*,*,*,valid
d,l,n,*,*,*,*,*,invalid
g,i,n,s,*,*,*,*,valid
y,f,u,y,s,*,*,*,invalid
t,t,e,m,*,*,*,*,invalid
u,p,t,u,r,n,e,d,valid
s,d,b,i,*,*,*,*,invalid
g,j,u,s,q,*,*,*,invalid
j,l,n,q,y,*,*,*,invalid
x,f,b,a,j,k,*,*,invalid
o,i,v,u,t,d,r,*,invalid
n,o,t,i,f,i,e,s,valid
x,e,e,h,n,g,*,*,invalid
b,v,c,q,h,t,*,*,invalid
b,e,n,e,f,i,t,*,valid
a,v,e,n,u,e,s,*,valid
c,y,m,b,a,l,s,*,valid
t,h,o,u,g,h,t,s,valid
k,t,r,d,j,*,*,*,invalid
n,d,f,h,*,*,*,*,invalid
j,h,o,s,a,*,*,*,invalid
s,a,s,s,i,e,r,*,valid
m,k,v,*,*,*,*,*,invalid
h,i,t,t,i,n,g,*,valid
a,w,f,u,l,*,*,*,valid
g,k,r,g,h,*,*,*,invalid
k,a,s,h,i,r,a,*,valid
s,a,n,i,t,i,z,e,valid
g,p,q,i,*,*,*,*,invalid
f,r,o,g,*,*,*,*,valid
p,p,v,k,k,w,*,*,invalid
f,p,k,g,p,f,p,*,invalid
k,i,k,w,*,*,*,*,invalid
j,f,n,m,*,*,*,*,invalid
b,e,v,n,y,*,*,*,invalid
o,v,e,v,*,*,*,*,invalid
b,a,l,d,l,y,*,*,valid
b,e,l,i,t,t,l,e,valid
n,e,w,k,f,*,*,*,invalid
y,v,o,i,g,*,*,*,invalid
m,o,d,e,s,t,y,*,valid
c,s,a,o,a,s,*,*,invalid
t,u,n,d,r,a,*,*,valid
j,f,u,d,e,m,*,*,invalid
r,l,p,f,u,*,*,*,invalid
d,e,c,k,e,d,*,*,valid
j,c,n,j,h,*,*,*,invalid
w,k,q,w,*,*,*,*,invalid
c,q,r,*,*,*,*,*,invalid
w,u,t,l,x,h,*,*,invalid
t,w,a,b,d,d,*,*,invalid
q,p,u,x,*,*,*,*,invalid
c,t,n,*,*,*,*,*,invalid
q,c,u,v,w,l,s,*,invalid
d,a,z,e,*,*,*,*,valid
p,g,x,c,y,r,k,*,invalid
l,o,y,c,t,m,*,*,invalid
l,e,a,y,*,*,*,*,invalid
j,x,k,x,g,*,*,*,invalid
s,o,t,f,a,h,x,*,invalid
y,b,a,*,*,*,*,*,invalid
q,o,c,r,q,*,*,*,invalid
n,r,e,q,p,*,*,*,invalid
n,e,t,w,o,r,k,s,valid
f,n,p,*,*,*,*,*,invalid
v,i,s,i,b,l,e,*,valid
c,u,p,c,a,k,e,*,valid
e,h,g,u,*,*,*,*,invalid
p,o,r,t,r,a,y,s,valid
t,a,c,k,e,d,*,*,valid
f,s,l,*,*,*,*,*,invalid
m,s,n,w,c,t,f,*,invalid
l,e,x,u,e,*,*,*,invalid
n,o,u,a,u,b,*,*,invalid
c,u,r,d,l,i,n,g,valid
h,g,v,u,t,*,*,*,invalid
i,n,c,h,f,*,*,*,invalid
q,u,e,i,e,*,*,*,invalid
h,o,l,i,n,g,*,*,valid
r,l,d,r,o,d,*,*,invalid
o,q,k,x,*,*,*,*,invalid
x,g,f,t,v,r,s,*,invalid
e,t,l,b,*,*,*,*,invalid
t,o,w,n,s,*,*,*,valid
b,b,r,d,r,k,s,*,invalid
o,i,l,i,e,s,t,*,valid
x,h,u,*,*,*,*,*,invalid
v,c,k,i,*,*,*,*,invalid
a,d,o,p,t,e,d,*,valid
b,u,g,g,i,e,r,*,valid
k,c,x,v,g,o,w,*,invalid
e,n,o,r,y,j,k,*,invalid
s,h,i,r,t,s,*,*,valid
s,t,a,s,h,*,*,*,valid
r,a,v,s,v,j,*,*,invalid
s,w,o,o,n,e,d,*,valid
e,v,m,b,*,*,*,*,invalid
b,l,o,n,d,e,s,t,valid
y,e,q,f,x,n,v,*,invalid
h,a,v,e,n,*,*,*,valid
s,t,r,a,t,u,m,s,valid
f,a,b,*,*,*,*,*,invalid
a,e,o,p,k,*,*,*,invalid
v,y,w,t,k,*,*,*,invalid
p,x,t,*,*,*,*,*,invalid
s,t,o,k,e,r,s,*,valid
w,v,e,w,x,i,n,*,invalid
s,e,n,s,u,a,l,*,valid
e,q,u,i,n,e,*,*,valid
x,a,t,c,*,*,*,*,invalid
y,y,w,b,k,s,l,*,invalid
i,i,m,*,*,*,*,*,invalid
i,h,r,o,k,e,*,*,invalid
y,h,c,r,b,u,u,*,invalid
w,r,l,w,c,l,*,*,invalid
m,v,g,q,q,d,f,*,invalid
j,a,t,*,*,*,*,*,invalid
e,f,t,d,*,*,*,*,invalid
i,a,t,y,*,*,*,*,invalid
k,e,r,n,e,l,*,*,valid
k,k,v,*,*,*,*,*,invalid
g,p,w,q,f,g,p,*,invalid
d,e,t,h,h,l,*,*,invalid
p,c,x,k,p,p,p,*,invalid
t,r,i,b,u,t,e,*,valid
e,k,s,k,i,q,p,*,invalid
l,y,i,n,p,b,*,*,invalid
q,u,i,t,s,*,*,*,valid
u,n,b,l,o,c,k,s,valid
e,p,t,x,l,*,*,*,invalid
p,o,o,h,e,d,*,*,valid
r,e,a,d,i,e,d,*,valid
o,s,a,x,*,*,*,*,invalid
c,q,j,i,j,*,*,*,invalid
g,j,l,*,*,*,*,*,invalid
e,a,s,i,l,y,*,*,valid
s,u,b,e,x,*,*,*,invalid
l,a,m,b,a,s,t,*,valid
e,q,q,*,*,*,*,*,invalid
m,i,n,u,s,e,s,*,valid
h,v,o,c,*,*,*,*,invalid
e,h,k,m,m,e,*,*,invalid
p,i,g,s,t,y,*,*,valid
e,c,e,o,*,*,*,*,invalid
t,i,d,b,i,t,s,*,valid
f,l,e,e,c,e,s,*,valid
j,p,d,v,*,*,*,*,invalid
m,e,a,s,u,r,e,s,valid
n,l,s,c,h,d,u,*,invalid
t,p,k,e,q,p,*,*,invalid
d,a,n,g,l,e,d,*,valid
d,i,s,r,u,p,t,s,valid
t,f,l,y,e,n,*,*,invalid
f,c,x,p,r,b,v,*,invalid
l,e,x,i,c,a,l,*,valid
g,p,h,u,l,*,*,*,invalid
m,o,n,e,y,*,*,*,valid
s,m,o,u,l,d,e,r,valid
o,d,a,b,e,*,*,*,invalid
u,t,r,p,n,i,*,*,invalid
m,a,m,m,a,r,y,*,valid
e,q,i,u,q,*,*,*,invalid
x,x,v,*,*,*,*,*,invalid
g,e,o,l,o,g,i,c,valid
d,e,i,f,y,i,n,g,valid
h,o,r,r,i,d,*,*,valid
a,x,i,f,w,p,*,*,invalid
w,x,t,*,*,*,*,*,invalid
i,i,j,w,m,c,*,*,invalid
s,b,b,g,r,*,*,*,invalid
w,h,e,e,d,l,e,*,valid
p,o,w,w,o,w,e,d,valid
e,g,k,w,s,*,*,*,invalid
p,l,e,a,s,u,r,e,valid
i,b,s,*,*,*,*,*,invalid
r,a,g,w,e,e,d,*,valid
l,i,g,q,h,r,o,*,invalid
c,v,b,*,*,*,*,*,invalid
i,g,h,c,u,o,p,*,invalid
r,o,c,u,v,y,*,*,invalid
c,o,a,r,s,e,*,*,valid
c,e,r,e,m,o,n,y,valid
w,i,e,*,*,*,*,*,invalid
m,b,e,l,t,x,*,*,invalid
m,e,r,m,a,i,d,*,valid
l,f,f,c,*,*,*,*,invalid
u,f,s,q,v,e,*,*,invalid
t,o,u,g,h,l,y,*,valid
c,s,i,b,*,*,*,*,invalid
c,v,r,m,g,c,*,*,invalid
w,i,l,d,l,y,*,*,valid
a,q,u,a,n,a,u,t,valid
u,i,a,i,i,j,a,*,invalid
f,l,a,y,i,n,g,*,valid
c,u,r,a,t,e,s,*,valid
x,b,y,*,*,*,*,*,invalid
v,a,d,b,*,*,*,*,invalid
p,i,c,n,i,c,*,*,valid
b,h,h,*,*,*,*,*,invalid
c,w,c,*,*,*,*,*,invalid
j,x,p,h,*,*,*,*,invalid
g,u,i,l,d,e,r,*,valid
f,x,w,k,y,*,*,*,invalid
i,n,a,h,*,*,*,*,invalid
w,h,i,s,k,y,s,*,valid
y,f,k,x,v,*,*,*,invalid
p,u,r,s,e,*,*,*,valid
r,f,n,g,h,f,*,*,invalid
e,o,t,d,d,*,*,*,invalid
e,l,u,d,e,d,*,*,valid
h,k,f,*,*,*,*,*,invalid
d,o,a,b,l,e,*,*,valid
j,u,x,d,x,i,*,*,invalid
e,e,i,*,*,*,*,*,invalid
e,n,v,y,g,*,*,*,invalid
e,l,u,d,e,s,*,*,valid
n,o,d,u,l,a,r,*,valid
l,o,o,n,e,y,*,*,valid
x,f,g,i,q,*,*,*,invalid
v,p,e,k,b,*,*,*,invalid
f,g,l,b,d,*,*,*,invalid
c,i,r,*,*,*,*,*,invalid
c,s,u,o,n,y,g,*,invalid
t,r,e,a,s,u,r,e,valid
s,l,i,t,t,e,r,*,valid
b,h,f,h,*,*,*,*,invalid
b,l,j,o,v,d,*,*,invalid
i,w,w,w,o,c,a,*,invalid
e,n,y,h,l,n,n,*,invalid
