char01,char02,char03,char04,char05,char06,char07,char08,Valid
f,b,u,p,f,f,l,*,invalid
c,o,d,s,*,*,*,*,valid
l,o,b,b,i,e,d,*,valid
m,s,e,a,j,*,*,*,invalid
w,h,i,m,s,*,*,*,valid
a,w,u,*,*,*,*,*,invalid
a,v,o,w,e,d,l,y,valid
f,c,y,q,u,t,*,*,invalid
b,o,o,e,*,*,*,*,invalid
e,l,u,*,*,*,*,*,invalid
v,h,v,q,b,*,*,*,invalid
j,y,s,p,l,c,*,*,invalid
t,l,f,f,*,*,*,*,invalid
r,b,t,a,p,k,j,*,invalid
n,l,o,*,*,*,*,*,invalid
x,h,f,*,*,*,*,*,invalid
o,j,s,*,*,*,*,*,invalid
g,b,x,c,b,f,*,*,invalid
s,i,j,q,a,o,h,*,invalid
l,x,e,d,m,r,i,*,invalid
g,n,a,w,s,*,*,*,valid
k,o,s,j,a,x,d,*,invalid
u,t,t,e,r,l,y,*,valid
s,l,a,m,m,i,n,g,valid
f,g,d,*,*,*,*,*,invalid
k,h,i,q,o,k,v,*,invalid
s,t,r,i,d,e,*,*,valid
y,j,n,i,c,v,k,*,invalid
a,y,e,*,*,*,*,*,valid
y,b,n,s,v,q,*,*,invalid
d,s,i,n,f,k,*,*,invalid
m,i,l,c,h,*,*,*,valid
m,u,f,t,i,*,*,*,valid
b,a,n,d,i,t,r,y,valid
s,e,a,r,c,h,e,d,valid
b,a,r,k,e,d,*,*,valid
h,x,l,p,c,*,*,*,invalid
t,w,q,g,l,r,f,*,invalid
n,r,r,x,l,e,a,*,invalid
g,p,f,a,*,*,*,*,invalid
h,e,h,l,v,b,b,*,invalid
b,d,m,j,w,*,*,*,invalid
e,n,t,a,i,l,*,*,valid
m,e,j,r,e,*,*,*,invalid
u,q,q,y,*,*,*,*,invalid
i,c,q,d,m,*,*,*,invalid
o,u,i,p,*,*,*,*,invalid
g,e,n,j,i,*,*,*,invalid
m,a,v,e,r,i,c,k,valid
s,i,t,e,d,*,*,*,valid
b,l,o,g,g,e,d,*,valid
n,b,s,s,r,*,*,*,invalid
s,i,c,k,e,n,e,d,valid
b,l,e,a,k,e,r,*,valid
g,r,a,v,e,d,*,*,valid
f,l,e,e,c,e,*,*,valid
k,x,i,c,d,v,a,*,invalid
s,t,e,a,m,i,n,g,valid
r,d,q,f,*,*,*,*,invalid
e,i,g,o,*,*,*,*,valid
p,a,v,e,d,*,*,*,valid
m,e,n,t,i,o,n,s,valid
k,v,i,u,t,*,*,*,invalid
d,e,m,i,s,e,s,*,valid
g,n,m,f,n,v,i,*,invalid
n,o,p,q,*,*,*,*,invalid
w,h,a,h,*,*,*,*,invalid
w,t,u,*,*,*,*,*,invalid
x,j,v,o,k,*,*,*,invalid
i,a,t,o,q,p,p,*,invalid
g,r,o,w,s,*,*,*,valid
b,k,e,w,*,*,*,*,invalid
w,r,m,w,q,s,*,*,invalid
e,n,g,d,*,*,*,*,invalid
r,i,k,a,d,*,*,*,invalid
h,a,t,e,f,u,l,*,valid
a,b,o,*,*,*,*,*,invalid
u,e,e,x,c,f,e,*,invalid
o,v,a,*,*,*,*,*,valid
c,f,o,h,x,h,*,*,invalid
v,f,q,b,a,e,c,*,invalid
u,d,r,*,*,*,*,*,invalid
i,d,c,u,o,y,*,*,invalid
a,t,g,v,s,r,s,*,invalid
b,q,k,v,u,*,*,*,invalid
d,i,s,c,l,a,i,m,valid
c,r,v,m,r,j,*,*,invalid
j,l,o,q,m,r,*,*,invalid
c,v,a,t,i,*,*,*,invalid
n,p,t,t,*,*,*,*,invalid
d,i,p,s,*,*,*,*,valid
e,n,i,c,f,d,n,*,invalid
e,x,x,y,*,*,*,*,invalid
m,p,x,p,u,*,*,*,invalid
g,j,d,d,p,*,*,*,invalid
u,n,c,t,i,o,n,*,valid
c,h,i,c,h,i,*,*,valid
g,e,b,s,e,q,*,*,invalid
v,m,g,c,*,*,*,*,invalid
a,r,r,i,v,e,s,*,valid
m,k,w,d,j,o,*,*,invalid
w,n,g,*,*,*,*,*,invalid
p,o,s,i,t,i,v,e,valid
y,x,c,v,h,*,*,*,invalid
k,h,o,o,f,*,*,*,invalid
g,r,a,c,e,f,u,l,valid
i,w,g,o,s,*,*,*,invalid
n,e,u,t,e,r,e,d,valid
g,k,r,y,q,j,l,*,invalid
u,p,h,i,l,l,*,*,valid
c,v,r,q,p,*,*,*,invalid
p,w,l,g,j,*,*,*,invalid
x,p,r,d,g,*,*,*,invalid
c,e,r,e,a,l,*,*,valid
p,u,n,k,s,*,*,*,valid
b,r,i,g,h,t,e,n,valid
u,p,b,x,*,*,*,*,invalid
v,c,o,s,u,s,k,*,invalid
r,r,l,m,o,*,*,*,invalid
f,g,s,*,*,*,*,*,invalid
u,c,n,*,*,*,*,*,invalid
b,e,e,p,e,r,s,*,valid
a,l,k,o,*,*,*,*,invalid
v,n,i,d,*,*,*,*,invalid
c,r,a,m,p,e,d,*,valid
e,c,v,h,*,*,*,*,invalid
p,q,i,b,*,*,*,*,invalid
g,m,x,s,*,*,*,*,invalid
b,e,t,r,a,y,s,*,valid
i,g,l,n,*,*,*,*,invalid
d,q,r,v,v,*,*,*,invalid
e,u,r,o,s,*,*,*,valid
h,t,c,d,v,k,*,*,invalid
f,k,p,r,*,*,*,*,invalid
o,b,l,i,g,a,t,e,valid
h,m,i,x,w,i,*,*,invalid
d,w,f,r,*,*,*,*,invalid
h,u,d,l,t,f,e,*,invalid
f,h,u,f,*,*,*,*,invalid
n,u,g,u,n,q,*,*,invalid
i,p,t,e,*,*,*,*,invalid
j,x,n,y,v,w,x,*,invalid
f,q,n,j,g,d,*,*,invalid
e,d,i,c,t,s,*,*,valid
o,f,f,b,e,a,t,s,valid
g,t,h,u,i,p,i,*,invalid
u,n,s,a,l,t,e,d,valid
t,a,r,e,s,*,*,*,valid
y,i,t,m,v,*,*,*,invalid
h,d,s,j,*,*,*,*,invalid
s,s,b,j,r,*,*,*,invalid
n,t,a,h,a,*,*,*,invalid
s,p,s,*,*,*,*,*,invalid
w,p,m,e,*,*,*,*,invalid
u,m,q,p,m,*,*,*,invalid
a,a,h,o,*,*,*,*,invalid
a,n,a,p,e,s,t,*,valid
s,c,r,a,t,c,h,*,valid
r,a,b,c,*,*,*,*,invalid
c,f,u,d,*,*,*,*,invalid
s,k,i,l,l,e,d,*,valid
r,o,a,*,*,*,*,*,invalid
p,r,e,p,a,y,*,*,valid
p,r,e,f,e,r,s,*,valid
b,a,l,l,e,d,*,*,valid
j,f,c,*,*,*,*,*,invalid
d,f,j,k,*,*,*,*,invalid
p,d,t,*,*,*,*,*,invalid
i,m,p,i,n,g,e,*,valid
r,e,h,a,s,h,e,d,valid
a,j,j,v,*,*,*,*,invalid
l,g,e,x,g,s,l,*,invalid
y,n,b,u,q,*,*,*,invalid
w,a,s,t,e,d,*,*,valid
s,v,w,m,y,r,w,*,invalid
u,v,s,n,*,*,*,*,invalid
e,m,b,o,d,i,e,d,valid
s,h,e,a,r,*,*,*,valid
c,a,l,y,x,e,s,*,valid
j,v,y,u,l,*,*,*,invalid
r,a,w,e,r,*,*,*,valid
r,p,q,i,b,*,*,*,invalid
j,o,s,t,l,e,*,*,valid
n,k,o,p,*,*,*,*,invalid
p,x,f,h,b,*,*,*,invalid
d,m,w,*,*,*,*,*,invalid
h,w,m,o,t,*,*,*,invalid
i,h,o,*,*,*,*,*,invalid
o,w,e,*,*,*,*,*,valid
m,s,b,s,j,e,*,*,invalid
c,a,v,i,l,e,d,*,valid
n,p,t,s,*,*,*,*,invalid
c,d,r,l,*,*,*,*,invalid
c,o,n,v,e,r,t,s,valid
r,a,b,b,i,s,*,*,valid
r,b,h,b,x,f,*,*,invalid
u,n,s,e,t,*,*,*,valid
p,a,t,h,e,t,i,c,valid
d,e,f,r,o,s,t,s,valid
c,h,e,a,t,e,r,*,valid
p,s,n,y,q,*,*,*,invalid
b,j,q,*,*,*,*,*,invalid
h,m,g,j,u,h,*,*,invalid
u,y,o,v,p,k,*,*,invalid
t,g,s,s,i,*,*,*,invalid
k,a,c,r,*,*,*,*,invalid
b,o,b,s,l,e,d,*,valid
r,a,n,b,w,f,*,*,invalid
d,p,o,*,*,*,*,*,invalid
t,o,o,t,h,i,e,r,valid
x,g,e,e,c,r,o,*,invalid
n,k,p,l,f,e,g,*,invalid
d,w,a,v,h,*,*,*,invalid
j,u,r,h,*,*,*,*,invalid
w,e,l,k,i,n,*,*,valid
h,t,n,*,*,*,*,*,invalid
c,o,l,c,k,v,c,*,invalid
c,e,n,t,e,r,*,*,valid
i,c,f,l,v,i,j,*,invalid
m,a,s,t,e,r,s,*,valid
y,f,f,p,n,*,*,*,invalid
e,d,r,i,w,i,*,*,invalid
c,h,o,k,e,s,*,*,valid
m,j,n,d,n,b,m,*,invalid
d,u,e,l,l,i,n,g,valid
h,h,n,m,p,*,*,*,invalid
s,c,m,p,f,d,*,*,invalid
h,k,t,t,h,q,u,*,invalid
g,i,x,*,*,*,*,*,invalid
b,o,o,k,s,*,*,*,valid
u,f,d,j,x,*,*,*,invalid
a,b,e,r,r,a,n,t,valid
e,u,i,p,*,*,*,*,invalid
d,k,f,m,c,w,u,*,invalid
p,i,c,a,y,u,n,e,valid
q,t,i,f,k,d,*,*,invalid
b,y,t,c,k,l,*,*,invalid
r,e,d,r,e,w,*,*,valid
o,w,e,a,x,*,*,*,invalid
m,a,l,e,*,*,*,*,valid
v,d,x,g,l,*,*,*,invalid
m,o,l,d,y,*,*,*,valid
c,d,b,g,i,*,*,*,invalid
u,s,u,r,e,r,s,*,valid
g,a,s,s,w,i,*,*,invalid
r,n,g,o,a,b,x,*,invalid
e,l,o,q,o,o,*,*,invalid
a,j,f,n,*,*,*,*,invalid
g,k,o,a,g,*,*,*,invalid
b,r,a,v,u,r,a,*,valid
v,e,r,s,e,*,*,*,valid
r,e,p,t,i,l,e,*,valid
g,o,u,s,y,*,*,*,invalid
i,m,b,h,v,g,r,*,invalid
d,d,k,n,j,r,a,*,invalid
g,b,t,r,*,*,*,*,invalid
k,b,r,r,x,o,w,*,invalid
x,l,n,d,f,u,x,*,invalid
p,b,s,h,*,*,*,*,invalid
x,f,q,e,t,y,*,*,invalid
k,e,y,h,o,l,e,s,valid
t,m,i,j,a,n,*,*,invalid
b,r,o,o,d,s,*,*,valid
s,p,o,r,i,n,g,*,valid
x,a,g,v,*,*,*,*,invalid
v,u,v,x,e,m,h,*,invalid
p,k,j,*,*,*,*,*,invalid
h,w,m,x,a,*,*,*,invalid
c,a,b,o,o,d,l,e,valid
f,s,c,d,t,q,*,*,invalid
k,c,j,e,j,k,*,*,invalid
r,d,i,*,*,*,*,*,invalid
h,w,w,i,t,w,e,*,invalid
p,r,o,l,i,x,*,*,valid
f,a,x,x,q,n,*,*,invalid
d,q,x,*,*,*,*,*,invalid
g,g,j,w,k,n,y,*,invalid
t,e,r,s,e,l,y,*,valid
u,l,n,a,*,*,*,*,valid
p,d,l,*,*,*,*,*,invalid
m,h,w,x,*,*,*,*,invalid
r,l,f,c,*,*,*,*,invalid
c,x,k,y,*,*,*,*,invalid
y,r,s,*,*,*,*,*,invalid
p,r,i,s,m,*,*,*,valid
p,u,r,e,l,y,*,*,valid
p,i,e,t,m,*,*,*,invalid
d,o,l,l,i,e,s,*,valid
c,h,e,e,r,i,e,r,valid
a,l,b,u,m,*,*,*,valid
x,q,x,d,i,t,*,*,invalid
a,h,y,g,x,w,q,*,invalid
x,v,g,x,h,s,o,*,invalid
i,e,q,*,*,*,*,*,invalid
n,i,t,b,d,n,*,*,invalid
v,i,v,a,*,*,*,*,valid
d,a,t,e,d,*,*,*,valid
p,e,s,t,e,r,e,d,valid
c,l,n,t,b,*,*,*,invalid
v,l,h,g,*,*,*,*,invalid
f,c,x,*,*,*,*,*,invalid
f,r,g,y,*,*,*,*,invalid
v,a,t,*,*,*,*,*,invalid
g,r,b,h,a,r,g,*,invalid
f,x,u,x,g,*,*,*,invalid
s,f,p,t,*,*,*,*,invalid
q,i,l,h,u,*,*,*,invalid
w,b,a,j,*,*,*,*,invalid
l,j,x,e,k,h,*,*,invalid
d,u,s,t,p,a,n,s,valid
b,x,f,i,c,b,g,*,invalid
c,b,o,q,d,*,*,*,invalid
h,i,n,i,*,*,*,*,invalid
i,e,n,e,k,l,m,*,invalid
v,v,s,s,s,*,*,*,invalid
y,f,r,m,*,*,*,*,invalid
p,h,o,n,e,m,e,*,valid
u,v,e,d,n,p,w,*,invalid
g,u,d,f,s,u,s,*,invalid
y,b,k,f,n,*,*,*,invalid
r,p,i,o,w,d,u,*,invalid
j,i,m,m,y,*,*,*,valid
m,s,b,l,r,*,*,*,invalid
q,a,g,e,u,v,*,*,invalid
v,s,h,*,*,*,*,*,invalid
h,y,m,e,n,*,*,*,valid
c,i,f,i,*,*,*,*,invalid
x,c,t,h,*,*,*,*,invalid
a,d,o,r,n,e,d,*,valid
g,a,s,p,*,*,*,*,valid
k,c,a,*,*,*,*,*,invalid
i,f,o,p,*,*,*,*,invalid
d,i,r,k,*,*,*,*,valid
b,r,g,j,o,a,r,*,invalid
i,h,t,d,u,n,c,*,invalid
v,y,h,o,l,*,*,*,invalid
w,p,v,d,*,*,*,*,invalid
f,i,t,t,e,r,*,*,valid
t,e,y,s,c,*,*,*,invalid
c,o,f,m,m,k,f,*,invalid
c,o,m,m,o,n,*,*,valid
a,t,i,w,*,*,*,*,invalid
x,q,r,k,x,b,*,*,invalid
g,a,z,e,t,t,e,s,valid
j,u,m,b,o,*,*,*,valid
m,i,n,d,f,u,l,*,valid
g,o,f,e,r,*,*,*,valid
e,l,e,v,a,t,e,d,valid
l,w,a,b,q,l,y,*,invalid
b,k,j,x,a,a,g,*,invalid
j,o,g,g,l,e,s,*,valid
x,j,o,f,g,h,s,*,invalid
f,r,t,g,d,k,*,*,invalid
y,a,s,a,i,*,*,*,valid
k,i,l,l,j,o,y,s,valid
w,d,i,v,v,f,x,*,invalid
a,o,n,l,*,*,*,*,invalid
i,m,h,p,*,*,*,*,invalid
y,h,b,y,w,a,*,*,invalid
c,o,u,n,t,e,r,*,valid
v,a,q,j,*,*,*,*,invalid
t,r,u,i,n,g,*,*,valid
y,a,q,e,*,*,*,*,invalid
g,s,w,l,*,*,*,*,invalid
h,y,b,h,l,*,*,*,invalid
e,t,d,p,*,*,*,*,invalid
r,o,l,l,i,c,k,s,valid
p,a,s,s,e,l,*,*,valid
d,f,r,*,*,*,*,*,invalid
i,t,s,r,a,*,*,*,invalid
b,w,q,h,m,*,*,*,invalid
d,e,n,t,i,s,t,s,valid
b,i,r,d,s,e,e,d,valid
l,t,v,a,r,g,*,*,invalid
b,h,b,i,i,n,*,*,invalid
n,t,b,*,*,*,*,*,invalid
x,e,k,x,y,r,q,*,invalid
t,e,n,d,r,i,l,*,valid
p,c,i,l,f,x,*,*,invalid
m,c,k,*,*,*,*,*,invalid
p,x,q,o,k,*,*,*,invalid
p,a,g,e,r,*,*,*,valid
a,r,t,l,e,s,s,*,valid
c,a,d,d,i,s,h,*,valid
f,r,a,c,k,i,n,g,valid
a,i,b,t,g,d,i,*,invalid
c,a,f,*,*,*,*,*,invalid
c,n,p,k,*,*,*,*,invalid
t,e,e,*,*,*,*,*,invalid
c,o,v,e,t,*,*,*,valid
w,i,z,a,r,d,r,y,valid
i,t,e,r,a,t,e,s,valid
t,o,n,n,e,*,*,*,valid
x,j,l,*,*,*,*,*,invalid
w,e,d,y,v,k,d,*,invalid
w,u,s,o,u,d,*,*,invalid
k,f,x,r,w,q,*,*,invalid
f,b,c,c,j,n,l,*,invalid
h,y,f,a,k,a,i,*,invalid
c,a,r,m,i,n,e,s,valid
k,o,g,r,m,x,*,*,invalid
y,f,j,*,*,*,*,*,invalid
e,p,o,x,i,e,d,*,valid
v,v,k,e,p,l,*,*,invalid
w,k,d,*,*,*,*,*,invalid
j,e,o,n,r,p,*,*,invalid
c,r,a,n,e,d,*,*,valid
n,b,q,*,*,*,*,*,invalid
d,g,u,o,u,a,h,*,invalid
k,u,m,w,*,*,*,*,invalid
f,a,i,r,s,*,*,*,valid
l,i,n,e,s,m,e,n,valid
a,c,a,c,i,a,*,*,valid
p,y,l,*,*,*,*,*,invalid
f,v,t,*,*,*,*,*,invalid
b,n,l,d,f,*,*,*,invalid
s,p,a,r,t,a,n,*,valid
d,o,u,j,*,*,*,*,invalid
p,l,i,v,n,a,l,*,invalid
f,n,s,n,*,*,*,*,invalid
l,o,o,s,e,s,t,*,valid
o,n,w,n,k,*,*,*,invalid
s,t,r,*,*,*,*,*,invalid
l,n,y,h,*,*,*,*,invalid
x,v,k,o,c,y,*,*,invalid
n,m,x,g,*,*,*,*,invalid
s,t,u,n,t,*,*,*,valid
n,b,w,e,g,l,y,*,invalid
s,o,f,t,e,n,s,*,valid
u,w,f,y,c,t,*,*,invalid
l,m,a,*,*,*,*,*,invalid
u,q,y,q,x,d,f,*,invalid
e,s,c,a,p,i,n,g,valid
s,w,a,n,k,e,d,*,valid
s,v,v,r,*,*,*,*,invalid
d,s,h,l,j,m,d,*,invalid
s,t,o,o,l,s,*,*,valid
g,g,o,*,*,*,*,*,invalid
f,d,w,*,*,*,*,*,invalid
e,m,c,*,*,*,*,*,invalid
b,u,a,q,o,v,*,*,invalid
n,b,i,*,*,*,*,*,invalid
e,q,y,i,*,*,*,*,invalid
m,j,h,g,r,a,*,*,invalid
h,n,d,h,d,i,o,*,invalid
g,m,k,u,*,*,*,*,invalid
d,n,k,j,c,p,t,*,invalid
i,n,v,e,r,s,e,s,valid
p,b,e,e,*,*,*,*,invalid
s,l,a,i,n,*,*,*,valid
s,a,l,m,o,n,s,*,valid
t,n,a,d,s,d,q,*,invalid
a,p,p,r,o,v,e,*,valid
v,k,d,f,c,w,f,*,invalid
u,c,j,*,*,*,*,*,invalid
w,a,y,s,i,d,e,*,valid
r,o,c,k,e,r,s,*,valid
c,y,p,h,e,r,*,*,valid
t,j,k,b,l,a,m,*,invalid
g,a,n,t,r,y,*,*,valid
q,l,m,g,j,k,*,*,invalid
u,k,a,y,e,a,w,*,invalid
p,e,c,u,l,i,a,r,valid
g,e,r,w,*,*,*,*,invalid
h,j,f,h,h,k,p,*,invalid
p,a,t,t,i,e,s,*,valid
q,d,f,*,*,*,*,*,invalid
c,k,f,l,f,*,*,*,invalid
o,k,t,q,*,*,*,*,invalid
i,j,f,x,*,*,*,*,invalid
c,x,j,x,l,j,a,*,invalid
s,x,s,m,w,h,*,*,invalid
b,w,e,*,*,*,*,*,invalid
c,f,m,l,*,*,*,*,invalid
o,p,a,q,u,e,d,*,valid
f,u,d,f,n,n,j,*,invalid
k,x,d,g,*,*,*,*,invalid
b,b,y,c,*,*,*,*,invalid
f,a,n,c,i,e,r,*,valid
m,r,v,o,w,s,*,*,invalid
b,c,h,x,j,p,*,*,invalid
q,x,j,l,l,*,*,*,invalid
g,s,c,r,p,*,*,*,invalid
c,l,a,s,p,s,*,*,valid
q,k,f,*,*,*,*,*,invalid
v,v,l,j,q,a,h,*,invalid
f,a,c,u,l,t,y,*,valid
s,e,x,t,a,n,t,s,valid
m,i,s,c,o,u,n,t,valid
b,o,r,e,s,*,*,*,valid
l,h,g,h,t,*,*,*,invalid
a,j,o,h,u,q,*,*,invalid
b,n,l,w,i,e,*,*,invalid
w,e,a,v,e,s,*,*,valid
u,n,v,e,i,l,e,d,valid
f,r,e,s,c,o,s,*,valid
h,e,x,a,g,o,n,s,valid
p,l,i,n,t,h,s,*,valid
o,y,n,*,*,*,*,*,invalid
l,u,k,w,k,*,*,*,invalid
p,a,x,q,n,v,*,*,invalid
v,p,r,k,*,*,*,*,invalid
y,n,a,o,d,c,s,*,invalid
n,o,b,u,k,v,f,*,invalid
d,k,n,d,o,x,*,*,invalid
r,g,n,*,*,*,*,*,invalid
v,n,m,b,h,r,*,*,invalid
w,d,e,*,*,*,*,*,invalid
i,n,s,t,a,l,*,*,valid
c,o,w,b,i,r,d,*,valid
f,f,p,o,l,*,*,*,invalid
x,d,n,t,x,f,i,*,invalid
p,b,t,*,*,*,*,*,invalid
j,f,j,s,i,*,*,*,invalid
c,a,r,t,e,l,s,*,valid
e,k,s,r,*,*,*,*,invalid
g,w,c,c,u,*,*,*,invalid
f,d,a,x,y,k,*,*,invalid
f,w,t,*,*,*,*,*,invalid
l,e,m,o,n,y,*,*,valid
b,e,f,e,l,l,*,*,valid
d,o,o,t,*,*,*,*,invalid
r,u,s,t,i,e,r,*,valid
o,f,x,n,j,l,*,*,invalid
p,j,p,n,*,*,*,*,invalid
p,v,n,c,*,*,*,*,invalid
w,u,y,y,i,j,*,*,invalid
r,i,t,t,o,r,u,*,valid
r,o,c,b,m,u,*,*,invalid
i,d,q,s,h,*,*,*,invalid
j,w,i,l,o,*,*,*,invalid
r,e,p,a,r,t,e,e,valid
j,x,m,q,n,s,*,*,invalid
b,r,i,s,t,l,y,*,valid
h,f,r,k,u,*,*,*,invalid
n,u,g,g,e,t,*,*,valid
l,t,m,m,x,*,*,*,invalid
b,v,o,d,m,*,*,*,invalid
k,j,c,f,v,s,*,*,invalid
n,f,w,b,t,t,y,*,invalid
u,n,d,o,n,e,*,*,valid
g,b,s,v,x,*,*,*,invalid
l,h,x,e,y,a,a,*,invalid
p,g,o,*,*,*,*,*,invalid
p,f,y,i,*,*,*,*,invalid
m,b,s,*,*,*,*,*,invalid
l,c,n,l,*,*,*,*,invalid
s,t,a,r,t,e,r,*,valid
a,d,j,o,i,n,s,*,valid
r,o,o,m,i,n,g,*,valid
t,e,r,m,*,*,*,*,valid
r,o,b,o,c,a,l,l,valid
p,a,j,u,*,*,*,*,invalid
x,n,g,*,*,*,*,*,invalid
c,o,n,v,i,c,t,s,valid
t,e,e,*,*,*,*,*,invalid
i,u,e,t,w,*,*,*,invalid
d,k,m,*,*,*,*,*,invalid
m,e,t,r,i,c,*,*,valid
w,q,v,e,*,*,*,*,invalid
l,a,d,v,n,g,*,*,invalid
j,s,p,*,*,*,*,*,invalid
j,j,s,r,*,*,*,*,invalid
c,n,b,f,x,l,*,*,invalid
m,f,s,g,n,r,*,*,invalid
g,i,q,g,i,g,*,*,invalid
b,a,l,k,e,d,*,*,valid
s,l,o,p,e,d,*,*,valid
k,k,d,p,*,*,*,*,invalid
u,s,u,r,p,i,n,g,valid
r,l,c,d,l,*,*,*,invalid
v,b,e,*,*,*,*,*,invalid
q,p,v,p,*,*,*,*,invalid
a,j,y,*,*,*,*,*,invalid
x,l,h,*,*,*,*,*,invalid
g,t,h,a,*,*,*,*,invalid
w,y,c,a,d,b,p,*,invalid
h,m,r,w,h,*,*,*,invalid
w,u,m,e,f,k,d,*,invalid
s,s,e,j,i,*,*,*,invalid
g,p,r,l,l,a,v,*,invalid
u,r,i,r,l,*,*,*,invalid
g,v,y,*,*,*,*,*,invalid
j,l,l,*,*,*,*,*,invalid
s,p,l,e,n,d,o,r,valid
i,p,p,h,i,k,*,*,invalid
t,h,r,o,a,t,*,*,valid
e,n,o,r,m,o,u,s,valid
l,i,m,p,e,s,t,*,valid
s,e,u,m,*,*,*,*,invalid
h,g,x,u,*,*,*,*,invalid
p,v,t,s,n,u,f,*,invalid
s,u,i,n,g,*,*,*,valid
o,p,u,l,e,n,c,e,valid
r,a,t,e,d,*,*,*,valid
f,d,s,m,*,*,*,*,invalid
o,c,j,o,k,*,*,*,invalid
x,q,e,u,u,*,*,*,invalid
q,p,t,*,*,*,*,*,invalid
g,r,a,c,e,s,*,*,valid
l,e,x,i,c,o,n,s,valid
w,r,v,*,*,*,*,*,invalid
q,a,u,*,*,*,*,*,invalid
n,a,v,q,*,*,*,*,invalid
j,g,h,u,*,*,*,*,invalid
n,o,p,*,*,*,*,*,invalid
j,o,q,d,y,*,*,*,invalid
p,r,o,m,i,s,e,s,valid
s,h,a,l,l,o,w,s,valid
a,v,p,u,j,*,*,*,invalid
l,b,g,u,l,*,*,*,invalid
c,u,d,g,e,l,s,*,valid
a,q,h,*,*,*,*,*,invalid
r,o,a,d,w,o,r,k,valid
n,m,x,f,r,u,*,*,invalid
e,i,n,*,*,*,*,*,invalid
w,e,a,r,y,i,n,g,valid
f,s,f,t,i,g,g,*,invalid
a,c,t,*,*,*,*,*,invalid
c,o,e,x,i,s,t,s,valid
m,g,e,q,q,u,o,*,invalid
i,r,v,g,r,*,*,*,invalid
d,u,o,g,q,l,*,*,invalid
g,t,w,m,m,*,*,*,invalid
s,o,u,s,e,d,*,*,valid
p,w,w,t,*,*,*,*,invalid
d,a,n,c,e,d,*,*,valid
l,v,u,o,k,p,*,*,invalid
l,e,g,s,*,*,*,*,valid
l,i,d,*,*,*,*,*,valid
r,u,s,t,l,e,*,*,valid
h,o,o,v,e,s,*,*,valid
