char01,char02,char03,char04,char05,char06,char07,char08,Valid
j,e,j,d,l,s,*,*,invalid
l,o,v,*,*,*,*,*,invalid
r,i,g,h,t,e,r,*,valid
j,n,f,*,*,*,*,*,invalid
h,p,k,w,a,*,*,*,invalid
b,d,x,j,*,*,*,*,invalid
t,j,l,n,f,*,*,*,invalid
i,d,i,*,*,*,*,*,invalid
j,y,v,c,s,v,d,*,invalid
i,n,j,u,r,i,n,g,valid
p,l,a,n,*,*,*,*,valid
s,y,g,u,w,h,*,*,invalid
w,g,a,t,j,*,*,*,invalid
f,x,j,b,*,*,*,*,invalid
c,d,g,m,*,*,*,*,invalid
f,j,i,w,*,*,*,*,invalid
s,p,v,b,r,k,g,*,invalid
s,w,e,e,t,e,n,*,valid
q,i,g,k,s,r,g,*,invalid
g,s,x,e,*,*,*,*,invalid
f,a,m,c,c,*,*,*,invalid
l,e,g,a,c,y,*,*,valid
v,o,e,*,*,*,*,*,invalid
a,t,e,*,*,*,*,*,invalid
y,o,u,n,g,e,r,*,valid
i,b,x,*,*,*,*,*,invalid
h,a,i,r,p,i,n,*,valid
i,h,s,t,*,*,*,*,invalid
q,t,g,x,j,x,*,*,invalid
q,v,t,t,q,*,*,*,invalid
m,f,c,l,b,e,*,*,invalid
k,t,c,*,*,*,*,*,invalid
r,p,b,w,p,*,*,*,invalid
h,q,c,r,s,*,*,*,invalid
u,p,y,p,g,*,*,*,invalid
u,n,t,*,*,*,*,*,invalid
a,d,r,e,n,a,l,s,valid
v,v,x,*,*,*,*,*,invalid
p,g,y,h,h,*,*,*,invalid
d,r,a,i,n,a,g,e,valid
m,r,c,t,m,x,*,*,invalid
g,s,a,p,q,*,*,*,invalid
c,o,v,e,y,*,*,*,valid
l,g,r,c,k,*,*,*,invalid
h,j,x,q,e,*,*,*,invalid
s,u,l,l,y,*,*,*,valid
q,i,s,y,u,o,*,*,invalid
l,n,o,u,b,*,*,*,invalid
c,x,m,y,m,o,*,*,invalid
b,r,a,n,c,h,*,*,valid
w,c,c,*,*,*,*,*,invalid
p,u,f,f,*,*,*,*,valid
t,r,i,n,k,e,t,s,valid
e,u,p,*,*,*,*,*,invalid
m,b,i,*,*,*,*,*,invalid
f,e,z,z,e,s,*,*,valid
x,p,s,b,i,a,j,*,invalid
s,e,n,s,u,o,u,s,valid
y,t,m,c,*,*,*,*,invalid
g,c,r,u,u,*,*,*,invalid
k,s,x,s,x,*,*,*,invalid
l,e,n,d,e,r,*,*,valid
l,a,j,g,j,l,k,*,invalid
c,h,a,r,g,i,n,g,valid
p,l,q,a,r,*,*,*,invalid
v,a,l,i,d,*,*,*,valid
k,r,q,u,i,f,h,*,invalid
e,l,a,y,u,v,*,*,invalid
r,t,g,a,k,*,*,*,invalid
u,m,l,a,u,t,s,*,valid
l,o,e,s,t,w,*,*,invalid
t,o,e,n,a,i,l,s,valid
q,d,d,a,g,y,m,*,invalid
d,a,n,g,l,e,d,*,valid
m,i,s,s,p,e,l,l,valid
p,m,f,i,k,s,w,*,invalid
v,v,c,s,e,j,*,*,invalid
j,i,g,g,l,e,d,*,valid
c,a,s,e,s,*,*,*,valid
m,a,y,g,v,e,j,*,invalid
j,i,b,e,d,*,*,*,valid
i,d,v,*,*,*,*,*,invalid
v,t,h,d,q,a,*,*,invalid
d,i,c,k,e,r,*,*,valid
b,r,e,w,e,r,*,*,valid
g,v,f,*,*,*,*,*,invalid
s,o,l,a,c,e,*,*,valid
c,n,s,h,g,*,*,*,invalid
i,n,g,o,t,s,*,*,valid
u,t,e,n,s,i,l,*,valid
w,p,i,w,*,*,*,*,invalid
m,o,l,t,s,*,*,*,valid
q,r,p,w,g,c,*,*,invalid
h,o,w,o,u,u,*,*,invalid
a,n,l,m,*,*,*,*,invalid
t,e,n,n,i,s,*,*,valid
r,i,f,u,q,*,*,*,invalid
c,u,r,s,o,r,s,*,valid
f,v,p,*,*,*,*,*,invalid
m,y,q,u,i,x,*,*,invalid
x,e,l,w,c,m,k,*,invalid
g,y,n,t,a,*,*,*,invalid
o,q,w,*,*,*,*,*,invalid
t,a,r,r,y,*,*,*,valid
n,i,b,*,*,*,*,*,valid
d,e,s,c,e,n,d,s,valid
v,d,c,x,*,*,*,*,invalid
k,e,r,o,s,i,n,e,valid
k,b,n,x,*,*,*,*,invalid
i,k,v,x,*,*,*,*,invalid
c,r,u,m,p,e,t,*,valid
i,c,c,r,r,y,l,*,invalid
r,e,t,u,r,n,e,d,valid
m,o,w,w,w,*,*,*,invalid
r,a,i,d,*,*,*,*,valid
h,o,l,i,e,s,t,*,valid
c,r,e,d,o,*,*,*,valid
x,p,e,m,o,i,*,*,invalid
c,f,j,i,*,*,*,*,invalid
g,m,m,k,j,a,e,*,invalid
u,n,y,*,*,*,*,*,invalid
r,e,t,r,i,e,s,*,valid
t,j,w,u,s,s,*,*,invalid
v,j,j,u,a,r,*,*,invalid
j,q,k,u,f,*,*,*,invalid
r,v,y,*,*,*,*,*,invalid
b,h,q,u,n,j,*,*,invalid
c,i,h,a,f,m,*,*,invalid
c,o,p,i,l,o,t,*,valid
a,r,t,e,r,i,e,s,valid
c,s,l,k,*,*,*,*,invalid
e,v,t,r,c,e,v,*,invalid
u,n,d,e,r,d,o,g,valid
f,a,c,e,l,e,s,s,valid
e,l,e,g,y,*,*,*,valid
i,m,a,m,*,*,*,*,valid
j,q,j,e,u,t,*,*,invalid
w,g,o,y,*,*,*,*,invalid
m,m,k,k,k,*,*,*,invalid
b,p,g,k,t,i,m,*,invalid
t,h,y,r,o,i,d,*,valid
e,b,m,k,k,a,*,*,invalid
p,u,p,a,l,*,*,*,valid
i,b,i,c,e,s,*,*,valid
x,l,q,*,*,*,*,*,invalid
f,a,b,*,*,*,*,*,invalid
c,u,y,h,t,*,*,*,invalid
v,q,b,r,k,*,*,*,invalid
p,u,n,s,t,e,r,s,valid
o,a,r,n,*,*,*,*,invalid
r,s,p,q,d,u,t,*,invalid
g,g,h,y,m,*,*,*,invalid
u,q,h,d,w,s,f,*,invalid
s,e,r,v,i,c,e,s,valid
i,g,g,e,i,*,*,*,invalid
w,e,w,e,b,j,n,*,invalid
k,c,w,*,*,*,*,*,invalid
u,t,f,q,q,*,*,*,invalid
c,u,s,s,e,s,*,*,valid
g,h,a,s,t,l,y,*,valid
l,a,b,i,a,l,*,*,valid
b,t,t,d,t,*,*,*,invalid
k,p,e,*,*,*,*,*,invalid
j,e,e,a,*,*,*,*,invalid
w,d,c,m,r,*,*,*,invalid
c,e,t,c,*,*,*,*,invalid
s,e,l,v,a,g,e,s,valid
a,l,d,r,a,*,*,*,invalid
h,o,c,k,e,y,*,*,valid
g,n,y,k,k,*,*,*,invalid
k,c,p,*,*,*,*,*,invalid
c,y,v,d,u,v,*,*,invalid
r,i,c,k,i,n,g,*,valid
q,t,a,*,*,*,*,*,invalid
d,e,s,e,f,*,*,*,invalid
v,e,n,u,e,*,*,*,valid
i,q,r,n,f,w,n,*,invalid
i,g,e,*,*,*,*,*,invalid
o,b,i,t,u,a,r,y,valid
x,s,g,j,i,k,v,*,invalid
j,l,u,f,a,k,*,*,invalid
j,o,l,h,h,*,*,*,invalid
l,o,b,b,y,i,n,g,valid
w,e,a,v,i,n,g,*,valid
e,w,x,w,g,i,*,*,invalid
t,p,v,*,*,*,*,*,invalid
o,g,v,u,*,*,*,*,invalid
j,g,e,f,k,*,*,*,invalid
t,a,l,k,e,r,*,*,valid
r,e,c,i,t,i,n,g,valid
p,v,r,*,*,*,*,*,invalid
c,a,p,t,i,o,n,*,valid
m,e,m,o,r,y,*,*,valid
w,a,r,l,o,c,k,s,valid
n,m,r,*,*,*,*,*,invalid
s,a,y,*,*,*,*,*,valid
s,t,y,m,y,i,n,g,valid
r,v,m,r,q,m,c,*,invalid
p,e,i,l,e,i,e,*,invalid
q,v,o,c,p,k,*,*,invalid
k,l,v,y,t,x,*,*,invalid
c,r,o,s,s,b,a,r,valid
h,a,l,o,i,n,g,*,valid
v,d,d,*,*,*,*,*,invalid
v,i,c,n,e,o,p,*,invalid
k,p,s,y,k,*,*,*,invalid
w,i,e,l,d,i,n,g,valid
s,h,i,p,p,e,r,*,valid
i,w,c,i,a,h,o,*,invalid
c,a,r,v,e,d,*,*,valid
h,v,b,p,j,o,y,*,invalid
a,r,b,o,r,e,t,a,valid
p,l,j,c,r,*,*,*,invalid
w,a,p,i,t,i,*,*,valid
m,a,t,e,d,*,*,*,valid
a,m,e,*,*,*,*,*,invalid
s,f,g,y,*,*,*,*,invalid
m,a,n,f,u,l,*,*,valid
q,t,p,d,f,*,*,*,invalid
w,v,j,y,x,*,*,*,invalid
l,a,u,g,h,*,*,*,valid
t,w,i,n,e,s,*,*,valid
k,e,f,*,*,*,*,*,invalid
y,o,d,e,l,l,e,d,valid
k,w,q,k,*,*,*,*,invalid
j,o,n,*,*,*,*,*,invalid
f,q,v,d,w,h,r,*,invalid
t,f,f,*,*,*,*,*,invalid
n,q,r,*,*,*,*,*,invalid
w,j,h,d,*,*,*,*,invalid
b,r,a,g,g,i,n,g,valid
t,c,b,*,*,*,*,*,invalid
r,b,n,o,o,u,k,*,invalid
u,n,b,i,n,d,s,*,valid
a,h,e,j,x,s,*,*,invalid
l,x,w,*,*,*,*,*,invalid
b,h,n,l,*,*,*,*,invalid
d,r,w,y,h,p,*,*,invalid
k,c,s,k,a,*,*,*,invalid
v,o,n,n,a,d,i,*,invalid
c,d,v,*,*,*,*,*,invalid
y,v,o,v,*,*,*,*,invalid
t,j,x,*,*,*,*,*,invalid
a,h,b,g,*,*,*,*,invalid
y,j,q,c,*,*,*,*,invalid
o,u,t,e,d,*,*,*,valid
l,a,m,p,r,e,y,*,valid
a,e,a,c,i,*,*,*,invalid
n,e,a,r,e,s,t,*,valid
s,p,e,c,s,*,*,*,valid
r,j,d,w,h,l,d,*,invalid
l,i,n,k,*,*,*,*,valid
x,o,c,l,u,g,y,*,invalid
a,q,f,n,*,*,*,*,invalid
g,a,l,a,x,i,e,s,valid
m,u,s,t,a,c,h,e,valid
p,e,a,r,s,*,*,*,valid
r,y,l,w,*,*,*,*,invalid
p,t,n,x,s,*,*,*,invalid
t,o,i,g,j,b,e,*,invalid
h,t,o,y,v,w,f,*,invalid
l,l,m,n,m,*,*,*,invalid
e,t,e,r,n,a,l,*,valid
e,c,w,f,d,*,*,*,invalid
o,f,l,*,*,*,*,*,invalid
p,i,n,a,f,o,r,e,valid
l,i,r,q,t,r,y,*,invalid
a,n,g,l,e,r,s,*,valid
q,v,y,p,q,*,*,*,invalid
e,x,a,w,n,p,y,*,invalid
p,m,m,i,c,*,*,*,invalid
u,w,u,c,h,h,e,*,invalid
d,i,a,g,n,o,s,e,valid
x,r,o,u,n,v,*,*,invalid
s,e,r,v,i,c,e,*,valid
b,j,a,t,f,*,*,*,invalid
d,i,d,d,l,e,d,*,valid
k,a,f,g,*,*,*,*,invalid
m,x,k,o,t,i,*,*,invalid
b,u,r,n,i,s,h,*,valid
g,k,b,*,*,*,*,*,invalid
s,t,r,i,n,g,e,r,valid
c,u,p,i,d,*,*,*,valid
s,h,a,d,e,*,*,*,valid
b,q,s,*,*,*,*,*,invalid
c,w,u,v,j,y,*,*,invalid
k,v,x,h,s,d,b,*,invalid
n,a,j,*,*,*,*,*,invalid
f,r,a,z,z,l,e,s,valid
c,b,l,d,*,*,*,*,invalid
s,a,r,o,n,g,s,*,valid
h,o,o,r,a,y,*,*,valid
s,h,i,m,*,*,*,*,valid
x,n,s,i,r,*,*,*,invalid
n,i,g,j,*,*,*,*,invalid
l,o,c,a,t,e,s,*,valid
t,d,i,a,y,h,j,*,invalid
p,e,p,p,e,r,e,d,valid
k,r,l,*,*,*,*,*,invalid
s,w,i,f,t,l,y,*,valid
s,y,p,s,h,y,*,*,invalid
e,n,i,g,m,a,*,*,valid
s,u,r,g,e,o,n,*,valid
m,g,h,p,j,l,*,*,invalid
i,n,a,n,e,*,*,*,valid
p,w,d,v,e,*,*,*,invalid
y,s,l,x,t,x,*,*,invalid
b,a,a,*,*,*,*,*,invalid
h,a,r,t,s,*,*,*,valid
v,t,b,*,*,*,*,*,invalid
w,m,e,*,*,*,*,*,invalid
m,o,v,i,e,*,*,*,valid
t,e,s,t,i,l,y,*,valid
d,i,s,c,i,p,l,e,valid
d,e,l,l,s,*,*,*,valid
p,e,w,*,*,*,*,*,invalid
t,i,c,k,l,e,*,*,valid
b,x,e,r,m,*,*,*,invalid
y,o,g,w,*,*,*,*,invalid
f,a,c,i,a,l,*,*,valid
s,p,i,n,e,*,*,*,valid
p,h,a,*,*,*,*,*,invalid
n,m,m,g,t,t,t,*,invalid
l,w,w,w,k,a,*,*,invalid
d,t,u,y,b,*,*,*,invalid
u,c,b,c,p,m,*,*,invalid
s,k,i,v,v,i,e,d,valid
a,u,k,*,*,*,*,*,invalid
m,s,w,q,r,*,*,*,invalid
a,l,o,h,a,*,*,*,valid
t,w,i,n,g,e,d,*,valid
c,o,r,d,i,a,l,s,valid
q,w,y,m,f,m,*,*,invalid
u,v,j,r,l,*,*,*,invalid
e,k,q,t,m,q,p,*,invalid
l,e,s,s,e,n,s,*,valid
i,y,c,b,q,*,*,*,invalid
d,e,a,f,e,n,s,*,valid
m,b,o,t,s,*,*,*,invalid
d,b,t,h,h,w,*,*,invalid
p,q,k,v,n,*,*,*,invalid
h,o,l,i,e,r,*,*,valid
j,d,x,*,*,*,*,*,invalid
s,u,c,l,*,*,*,*,invalid
i,w,d,m,y,e,h,*,invalid
g,w,s,*,*,*,*,*,invalid
f,t,p,e,q,*,*,*,invalid
x,b,b,b,m,m,*,*,invalid
u,n,w,r,a,p,s,*,valid
s,w,a,n,k,i,e,r,valid
b,r,i,n,i,e,s,t,valid
p,f,d,n,a,v,f,*,invalid
r,y,g,r,n,t,t,*,invalid
c,u,u,l,c,*,*,*,invalid
n,u,m,b,n,e,s,s,valid
a,l,r,e,a,d,y,*,valid
j,o,e,*,*,*,*,*,invalid
s,t,x,*,*,*,*,*,invalid
c,o,n,d,u,c,e,d,valid
q,p,c,n,d,l,l,*,invalid
o,v,l,o,i,u,o,*,invalid
p,a,u,s,e,s,*,*,valid
j,q,w,m,f,m,*,*,invalid
s,i,v,t,t,c,f,*,invalid
b,o,o,e,d,*,*,*,valid
j,s,y,*,*,*,*,*,invalid
m,y,o,j,g,h,*,*,invalid
i,n,g,r,a,i,n,*,valid
k,p,v,*,*,*,*,*,invalid
k,y,l,k,s,*,*,*,invalid
v,n,g,a,x,d,*,*,invalid
s,u,n,t,a,n,*,*,valid
s,d,y,*,*,*,*,*,invalid
a,s,t,u,t,e,r,*,valid
v,o,g,u,i,s,h,*,valid
p,i,q,u,e,d,*,*,valid
g,o,o,*,*,*,*,*,valid
e,g,k,*,*,*,*,*,invalid
d,j,d,c,y,*,*,*,invalid
d,b,b,d,n,*,*,*,invalid
o,q,e,i,t,*,*,*,invalid
h,y,m,c,o,d,*,*,invalid
n,s,s,*,*,*,*,*,invalid
l,b,x,y,h,w,j,*,invalid
f,n,y,*,*,*,*,*,invalid
v,l,o,t,*,*,*,*,invalid
b,e,a,u,t,y,*,*,valid
k,i,u,l,j,*,*,*,invalid
n,c,d,t,x,*,*,*,invalid
d,e,a,n,s,*,*,*,valid
d,o,h,v,y,*,*,*,invalid
b,l,u,e,b,e,l,l,valid
t,m,r,r,o,d,l,*,invalid
c,a,n,o,p,y,*,*,valid
i,y,s,*,*,*,*,*,invalid
o,x,i,i,u,c,*,*,invalid
v,e,n,v,m,h,*,*,invalid
e,l,c,w,*,*,*,*,invalid
r,m,s,y,n,*,*,*,invalid
q,u,s,f,g,l,*,*,invalid
n,h,p,e,t,*,*,*,invalid
v,a,c,f,o,*,*,*,invalid
r,s,u,*,*,*,*,*,invalid
c,y,m,f,*,*,*,*,invalid
r,e,m,i,t,s,*,*,valid
w,i,m,y,i,l,l,*,invalid
q,m,t,v,l,*,*,*,invalid
j,x,f,*,*,*,*,*,invalid
u,o,e,c,g,*,*,*,invalid
p,r,u,d,e,n,c,e,valid
b,r,o,a,c,h,e,s,valid
o,o,i,y,e,*,*,*,invalid
t,m,w,y,r,*,*,*,invalid
i,n,e,r,t,*,*,*,valid
x,d,x,m,x,j,e,*,invalid
d,a,n,p,*,*,*,*,invalid
u,t,f,r,r,j,*,*,invalid
j,e,h,q,*,*,*,*,invalid
b,b,q,h,f,f,*,*,invalid
q,e,k,c,k,v,*,*,invalid
w,a,s,h,b,o,w,l,valid
o,v,f,u,x,a,*,*,invalid
v,a,n,a,d,q,*,*,invalid
h,p,m,t,*,*,*,*,invalid
q,a,n,k,l,t,q,*,invalid
j,k,l,y,q,s,t,*,invalid
i,g,d,k,j,l,*,*,invalid
t,f,q,a,w,*,*,*,invalid
n,f,d,g,*,*,*,*,invalid
t,a,k,*,*,*,*,*,invalid
e,h,v,d,*,*,*,*,invalid
m,o,d,e,*,*,*,*,valid
w,d,c,u,d,e,*,*,invalid
d,m,c,y,*,*,*,*,invalid
q,o,c,r,p,c,m,*,invalid
u,f,v,p,y,m,*,*,invalid
e,y,h,s,y,l,*,*,invalid
k,g,j,i,*,*,*,*,invalid
i,j,j,i,x,u,*,*,invalid
l,y,o,*,*,*,*,*,invalid
f,w,f,*,*,*,*,*,invalid
w,e,y,w,x,*,*,*,invalid
m,a,n,g,a,*,*,*,valid
l,u,r,e,d,*,*,*,valid
n,m,s,u,t,*,*,*,invalid
c,i,b,q,o,x,x,*,invalid
o,k,p,l,p,s,q,*,invalid
p,w,o,o,e,*,*,*,invalid
f,m,w,o,p,*,*,*,invalid
h,n,c,*,*,*,*,*,invalid
b,a,f,f,l,e,s,*,valid
n,n,b,m,i,u,*,*,invalid
r,x,k,i,*,*,*,*,invalid
u,p,d,a,t,e,d,*,valid
k,k,x,c,k,f,*,*,invalid
s,h,e,a,r,e,r,*,valid
s,e,i,z,u,r,e,*,valid
m,a,n,a,g,e,r,*,valid
s,m,e,*,*,*,*,*,invalid
l,o,e,j,l,k,*,*,invalid
g,x,t,i,s,*,*,*,invalid
s,c,r,u,f,f,s,*,valid
s,w,i,f,t,s,*,*,valid
d,h,c,t,*,*,*,*,invalid
c,q,r,h,s,*,*,*,invalid
l,k,x,w,n,*,*,*,invalid
s,w,e,e,t,*,*,*,valid
p,n,h,w,g,*,*,*,invalid
g,b,g,p,i,r,*,*,invalid
g,g,v,r,t,y,i,*,invalid
d,r,u,n,k,e,n,*,valid
c,i,b,m,l,o,h,*,invalid
g,n,q,i,t,f,*,*,invalid
a,m,e,y,*,*,*,*,invalid
l,e,a,p,e,d,*,*,valid
l,i,q,*,*,*,*,*,invalid
p,e,w,*,*,*,*,*,valid
o,p,o,f,*,*,*,*,invalid
q,b,b,e,*,*,*,*,invalid
d,g,u,q,l,o,i,*,invalid
x,k,p,*,*,*,*,*,invalid
x,i,r,w,k,*,*,*,invalid
i,r,h,v,*,*,*,*,invalid
g,c,n,q,h,*,*,*,invalid
h,v,e,l,i,*,*,*,invalid
v,u,o,g,i,*,*,*,invalid
h,w,c,u,l,*,*,*,invalid
a,h,c,*,*,*,*,*,invalid
e,n,c,h,a,n,t,s,valid
p,k,g,t,*,*,*,*,invalid
g,t,s,o,*,*,*,*,invalid
c,o,b,b,l,e,r,s,valid
n,f,x,a,*,*,*,*,invalid
o,u,t,d,o,o,r,*,valid
j,b,a,e,*,*,*,*,invalid
b,l,o,a,t,s,*,*,valid
q,d,p,u,*,*,*,*,invalid
g,a,s,s,y,*,*,*,valid
w,l,s,b,e,s,*,*,invalid
b,r,w,v,k,*,*,*,invalid
w,v,a,v,j,*,*,*,invalid
